index,GLD_Close,GLD_dailyReturns,GC=F_Close,GC=F_dailyReturns,spread,abs_sprd,GLD_rolling avg,GC=F_rolling avg,isSprdPos,signal,axe,leverage,ratio,GLD_Size,GC=F_Size,GLD_Cashflow,GC=F_Cashflow,GLD_MTM,GC=F_MTM,Live Trades,GLD_PnL,GC=F_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL
2012-01-03,155.9199981689453,0.025856915150634707,1599.699951171875,0.02165021157658109,0.004206703574053616,0.004206703574053616,0.01317286603889855,0.013019709622257241,1,0,0.0,10,8.590573245466777,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.01317286603889855,0.0,0.0,0.0,0,0.0
2012-01-04,156.7100067138672,0.005066755734988382,1611.9000244140625,0.007626475973353752,-0.0025597202383653705,0.0025597202383653705,0.013047999694224321,0.013096472122655486,0,0,0.0,10,15.482294038828055,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.013096472122655486,0.0,0.0,0.0,0,0.0
2012-01-05,157.77999877929688,0.006827847741614601,1619.4000244140625,0.004652894029656851,0.00217495371195775,0.00217495371195775,0.01308388131629129,0.013157364116831539,1,0,0.0,10,6.994256042210429,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.013157364116831539,0.0,0.0,0.0,0,0.0
2012-01-06,157.1999969482422,-0.0036760161968690808,1616.0999755859375,-0.0020378218959945515,-0.0016381943008745292,0.0016381943008745292,0.012967754028491084,0.013032056247750032,0,0,0.0,10,5.699076655687845,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.013032056247750032,0.0,0.0,0.0,0,0.0
2012-01-07,157.1999969482422,0.0,1616.0999755859375,0.0,0.0,0.0,0.012529562028874931,0.01270478795252878,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.01270478795252878,0.0,0.0,0.0,0,0.0
2012-01-08,157.1999969482422,0.0,1616.0999755859375,0.0,0.0,0.0,0.012508367248567688,0.01269190271840437,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.01269190271840437,0.0,0.0,0.0,0,0.0
2012-01-09,156.5,-0.0044529068818790485,1607.5,-0.005321437854003741,0.0008685309721246925,0.0008685309721246925,0.012512471080355735,0.012702246567494234,1,0,0.0,10,12.275014702982386,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.012702246567494234,0.0,0.0,0.0,0,0.0
2012-01-10,158.63999938964844,0.01367411750574088,1631.0,0.014618973561430826,-0.0009448560556899466,0.0009448560556899466,0.012831561108730918,0.01305837805725837,0,0,0.0,10,10.991547336476952,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.01305837805725837,0.0,0.0,0.0,0,0.0
2012-01-11,159.6699981689453,0.006492680176876542,1639.199951171875,0.005027560497777417,0.001465119679099125,0.001465119679099125,0.012002859027927547,0.012079315181126878,1,0,0.0,10,7.949538315890974,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.012079315181126878,0.0,0.0,0.0,0,0.0
2012-01-12,160.3800048828125,0.004446713358861265,1647.300048828125,0.004941494569017824,-0.0004947812101565585,0.0004947812101565585,0.011323980723390656,0.012111204475777746,0,0,0.0,10,11.414100080398622,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.012111204475777746,0.0,0.0,0.0,0,0.0
