Date,BTC-USD_Close,BTC-USD_dailyReturns,ETH-USD_Close,ETH-USD_dailyReturns,spread,abs_sprd,BTC-USD_rolling avg,ETH-USD_rolling avg,isSprdPos,signal,axe,leverage,ratio,BTC-USD_Size,ETH-USD_Size,BTC-USD_Cashflow,ETH-USD_Cashflow,BTC-USD_MTM,ETH-USD_MTM,Live Trades,BTC-USD_PnL,ETH-USD_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2024-06-12,68241.1875,0.013502581655740586,3559.61767578125,0.01751895888957078,-0.004016377233830193,0.004016377233830193,0.016934318479946205,0.024365446594163537,0,0,0.0,5,0.0676781159638872,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.024365446594163537,0.0,0.0,0.0,0,0.0,0.0
2024-06-13,66756.3984375,-0.021757960505889518,3469.28125,-0.025378125970065946,0.003620165464176428,0.003620165464176428,0.018703617387564084,0.02527170271714093,1,0,0.0,5,0.060616097878766456,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.02527170271714093,0.0,0.0,0.0,0,0.0,0.0
2024-06-14,66011.09375,-0.011164543099157487,3480.27197265625,0.003168011430681794,-0.014332554529839281,0.014332554529839281,0.01740524798651333,0.02466241154240666,0,0,0.0,5,0.014960359874157076,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.02466241154240666,0.0,0.0,0.0,0,0.0,0.0
2024-06-15,66191.0,0.0027253941690672523,3565.549560546875,0.024503138996214258,-0.021777744827147005,0.021777744827147005,0.018094344730431634,0.029723621618687652,0,0,0.0,5,0.48430609676290154,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.029723621618687652,0.0,0.0,0.0,0,0.0,0.0
2024-06-16,66639.046875,0.006768999939568809,3620.5634765625,0.015429295002475696,-0.008660295062906886,0.008660295062906886,0.014264637152187036,0.019691856944944113,0,0,0.0,5,0.1238422864657626,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.019691856944944113,0.0,0.0,0.0,0,0.0,0.0
2024-06-17,66490.296875,-0.0022321747830370553,3511.37890625,-0.03015678941117861,0.027924614628141553,0.027924614628141553,0.011452025671786959,0.024346772260979848,1,1,1.0,5,0.7134710069052449,-4.0,5.0,265961.1875,-17556.89453125,0.0,0.0,Opened,265961.1875,-17556.89453125,0.0,0.024346772260979848,283518.08203125,0.0,0.0,0,0.0,283518.08203125
2024-06-18,65140.74609375,-0.02029695827328193,3483.681396484375,-0.007887929643914382,-0.012409028629367547,0.012409028629367547,0.010928428812785494,0.021301658205345006,0,0,-1.0,5,0.020783456184907095,4.0,-5.0,-260562.984375,17418.406982421875,5398.203125,-138.487548828125,Closed,-260562.984375,17418.406982421875,5259.715576171875,0.021301658205345006,277981.3913574219,5259.715576171875,0.01892110673483556,0,5259.715576171875,0.0
2024-06-19,64960.296875,-0.0027701435671353414,3559.347412109375,0.021720130807989513,-0.024490274375124854,0.024490274375124854,0.010343005922955156,0.02329386374514107,0,1,1.0,5,0.42961806765796445,3.0,-5.0,-194880.890625,17796.737060546875,0.0,0.0,Opened,-194880.890625,17796.737060546875,0.0,0.02329386374514107,212677.62768554688,0.0,0.0,0,0.0,212677.62768554688
2024-06-20,64828.65625,-0.00202647819256907,3511.0869140625,-0.013558805157003362,0.011532326964434292,0.011532326964434292,0.009874623469133237,0.021351437969208926,1,0,-1.0,5,0.3623715100521015,-3.0,5.0,194485.96875,-17555.4345703125,-394.921875,241.302490234375,Closed,194485.96875,-17555.4345703125,-153.619384765625,0.021351437969208926,212041.4033203125,-153.619384765625,-0.0007244782498140967,0,-153.619384765625,0.0
2024-06-21,64096.19921875,-0.011298352821403679,3516.07568359375,0.0014208618736464285,-0.012719214695050107,0.012719214695050107,0.008031467284629301,0.019152365190093258,0,0,0.0,5,0.006898627026476801,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.019152365190093258,0.0,0.0,0.0,0,0.0,0.0
2024-06-22,64252.578125,0.0024397531859308152,3494.8134765625,-0.006047141456727134,0.00848689464265795,0.00848689464265795,0.009038831445935914,0.013716978191692868,1,0,0.0,5,0.1348148328191928,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.013716978191692868,0.0,0.0,0.0,0,0.0,0.0
2024-06-23,63180.796875,-0.01668075089399379,3418.61181640625,-0.02180421377772701,0.005123462883733221,0.005123462883733221,0.00773916482532648,0.016604692774682163,1,0,0.0,5,0.07072769827355394,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.016604692774682163,0.0,0.0,0.0,0,0.0,0.0
2024-06-24,60277.4140625,-0.04595356431233677,3350.25634765625,-0.019995095208515723,-0.025958469103821047,0.025958469103821047,0.01901755162289021,0.00972149729036992,0,1,1.0,5,0.024183975834723176,1.0,-5.0,-60277.4140625,16751.28173828125,0.0,0.0,Opened,-60277.4140625,16751.28173828125,0.0,0.01901755162289021,77028.69580078125,0.0,0.0,0,0.0,77028.69580078125
2024-06-25,61804.640625,0.025336630415439876,3395.029052734375,0.013363963957398806,0.01197266645804107,0.01197266645804107,0.026169863478244612,0.014780017484620812,1,0,-1.0,5,0.028974026222946758,-1.0,5.0,61804.640625,-16975.145263671875,1527.2265625,-223.863525390625,Closed,61804.640625,-16975.145263671875,1303.363037109375,0.026169863478244612,78779.78588867188,1303.363037109375,0.016544384100652804,0,1303.363037109375,0.0
2024-06-26,60811.27734375,-0.016072632592061153,3369.477294921875,-0.007526226555239823,-0.00854640603682133,0.00854640603682133,0.026350615763044368,0.014089789877838203,0,0,0.0,5,0.025945896333152002,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.026350615763044368,0.0,0.0,0.0,0,0.0,0.0
2024-06-27,61604.80078125,0.013048951973404943,3444.800537109375,0.0223545777563241,-0.009305625782919158,0.009305625782919158,0.027997162930151125,0.019831567513283598,0,0,0.0,5,0.09579445283239069,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.027997162930151125,0.0,0.0,0.0,0,0.0,0.0
2024-06-28,60320.13671875,-0.020853310881755127,3373.635986328125,-0.02065854031739267,-0.00019477056436245643,0.00019477056436245643,0.02837780063332587,0.019560732251516274,0,0,0.0,5,0.05540647459309465,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.02837780063332587,0.0,0.0,0.0,0,0.0,0.0
2024-06-29,60887.37890625,0.009403861104374522,3372.9677734375,-0.00019806905467367741,0.0096019301590482,0.0096019301590482,0.01981312417767191,0.016963333759890738,1,0,0.0,5,0.0011667970860098993,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.01981312417767191,0.0,0.0,0.0,0,0.0,0.0
2024-06-30,62678.29296875,0.029413551620566913,3432.88916015625,0.017765182101838528,0.011648369518728385,0.011648369518728385,0.021050009656218605,0.017827200920642706,1,0,0.0,5,0.03307994791698356,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.021050009656218605,0.0,0.0,0.0,0,0.0,0.0
2024-07-01,62851.98046875,0.002771094932125795,3440.341552734375,0.0021708806286613314,0.0006002143034644636,0.0006002143034644636,0.01829023353274394,0.016992443511080296,1,0,0.0,5,0.04288122004432655,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.01829023353274394,0.0,0.0,0.0,0,0.0,0.0
2024-07-02,62029.015625,-0.013093697885290578,3416.354736328125,-0.0069722194841920215,-0.006121478401098557,0.006121478401098557,0.019722421173084488,0.013993584515088696,0,0,0.0,5,0.029327618896957154,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.019722421173084488,0.0,0.0,0.0,0,0.0,0.0
2024-07-03,60173.921875,-0.02990687070088416,3292.916748046875,-0.03613149037734886,0.006224619676464704,0.006224619676464704,0.022509640412199723,0.019781675561082696,1,0,0.0,5,0.06611307177980263,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.022509640412199723,0.0,0.0,0.0,0,0.0,0.0
2024-07-04,56977.703125,-0.05311634426354228,3054.52197265625,-0.07239623520151972,0.01927989093797744,0.01927989093797744,0.03139498733332158,0.03566908538671499,1,0,0.0,5,0.07306781504507405,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.03566908538671499,0.0,0.0,0.0,0,0.0,0.0
2024-07-05,56662.375,-0.005534237213954074,2981.5986328125,-0.023873895979977133,0.01833965876602306,0.01833965876602306,0.022192710264034264,0.02917643087943956,1,0,0.0,5,0.22699690380239462,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.02917643087943956,0.0,0.0,0.0,0,0.0,0.0
2024-07-06,58303.5390625,0.02896391234041995,3069.3779296875,0.029440346500360093,-0.00047643415994014227,0.00047643415994014227,0.030414063200230115,0.037466430239712675,0,0,0.0,5,0.053510762715497526,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.037466430239712675,0.0,0.0,0.0,0,0.0,0.0
2024-07-07,55849.109375,-0.042097439142912196,2929.38720703125,-0.045608825587177826,0.0035113864442656295,0.0035113864442656295,0.032746321487382074,0.037579736527267454,1,0,0.0,5,0.05682687058919649,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.037579736527267454,0.0,0.0,0.0,0,0.0,0.0
2024-07-08,56705.09765625,0.015326802715911692,3018.73193359375,0.03049945952793487,-0.015172656812023178,0.015172656812023178,0.03556860209897048,0.04567682372058236,0,0,0.0,5,0.10593586628980882,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.04567682372058236,0.0,0.0,0.0,0,0.0,0.0
2024-07-09,58009.2265625,0.02299844211812685,3064.032958984375,0.015006640664742665,0.007991801453384184,0.007991801453384184,0.028845650854719625,0.03415518891710403,1,0,0.0,5,0.03446524915638153,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.03415518891710403,0.0,0.0,0.0,0,0.0,0.0
2024-07-10,57742.49609375,-0.004598069730556098,3102.21875,0.01246259146908213,-0.017060661199638227,0.017060661199638227,0.028771793465936897,0.031257718650370615,0,0,0.0,5,0.1456161922738899,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.031257718650370615,0.0,0.0,0.0,0,0.0,0.0
2024-07-11,57344.9140625,-0.006885432015347748,3100.330810546875,-0.0006085771524413364,-0.006276854862906411,0.006276854862906411,0.02528852393184696,0.028998488154504964,0,0,0.0,5,0.00477856589590915,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.028998488154504964,0.0,0.0,0.0,0,0.0,0.0
2024-07-12,57899.46484375,0.009670444019596935,3134.15869140625,0.010911055279745563,-0.0012406112601486274,0.0012406112601486274,0.012838225799312165,0.011157547336408695,0,0,0.0,5,0.06107546378002215,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.012838225799312165,0.0,0.0,0.0,0,0.0,0.0
2024-07-13,59231.953125,0.023013827240820017,3177.19873046875,0.013732565354943382,0.009281261885876635,0.009281261885876635,0.014404161110274273,0.006284548780831939,1,0,0.0,5,0.03200745568653035,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.014404161110274273,0.0,0.0,0.0,0,0.0,0.0
2024-07-14,60787.79296875,0.026266900915231206,3244.0791015625,0.021050106325543716,0.00521679458968749,0.00521679458968749,0.015256304332772638,0.007811521969563445,1,0,0.0,5,0.04276815521339465,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.015256304332772638,0.0,0.0,0.0,0,0.0,0.0
2024-07-15,64870.15234375,0.06715755212726138,3489.552734375,0.0756682020158721,-0.008510649888610722,0.008510649888610722,0.02751277481681813,0.029835022297618568,0,0,0.0,5,0.060609877289484596,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.029835022297618568,0.0,0.0,0.0,0,0.0,0.0
2024-07-16,65097.1484375,0.003499237870556282,3443.513427734375,-0.013193469233778732,0.016692707104335014,0.016692707104335014,0.02487890932670631,0.032826828757108975,1,0,0.0,5,0.19944601288418498,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.032826828757108975,0.0,0.0,0.0,0,0.0,0.0
2024-07-17,64118.79296875,-0.01502916014346345,3388.75244140625,-0.0159026492788078,0.0008734891353443519,0.0008734891353443519,0.0306866857932371,0.036947969396722104,1,0,0.0,5,0.055922847153411316,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.036947969396722104,0.0,0.0,0.0,0,0.0,0.0
2024-07-18,63974.06640625,-0.0022571629283560934,3426.258544921875,0.011067820433664055,-0.013324983362020149,0.013324983362020149,0.032306655370288255,0.03701289897883084,0,0,0.0,5,0.2626124857431186,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.03701289897883084,0.0,0.0,0.0,0,0.0,0.0
2024-07-19,66710.15625,0.042768734230136385,3505.73486328125,0.023196240831611536,0.01957249339852485,0.01957249339852485,0.03440191615434989,0.037102238673978556,1,0,0.0,5,0.028502195956067778,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.037102238673978556,0.0,0.0,0.0,0,0.0,0.0
2024-07-20,67163.6484375,0.0067979482134701286,3519.29541015625,0.003868103950767088,0.0029298442627030408,0.0029298442627030408,0.02157866954062479,0.016478442906915813,1,0,0.0,5,0.029815474705114007,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.02157866954062479,0.0,0.0,0.0,0,0.0,0.0
2024-07-21,68154.5234375,0.014753144342986024,3536.60546875,0.0049186148294897425,0.009834529513496282,0.009834529513496282,0.021688547325325547,0.014188087354750457,1,0,0.0,5,0.017300161289714785,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.021688547325325547,0.0,0.0,0.0,0,0.0,0.0
2024-07-22,67585.25,-0.00835268752223095,3440.419921875,-0.027197137968854812,0.01884445044662386,0.01884445044662386,0.019943306253555136,0.01863554371465072,1,0,0.0,5,0.16575113045113998,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.019943306253555136,0.0,0.0,0.0,0,0.0,0.0
