index,AMD_Close,AMD_dailyReturns,NVDA_Close,NVDA_dailyReturns,spread,abs_sprd,AMD_rolling avg,NVDA_rolling avg,isSprdPos,signal,axe,leverage,ratio,AMD_Size,NVDA_Size,AMD_Cashflow,NVDA_Cashflow,AMD_MTM,NVDA_MTM,Live Trades,AMD_PnL,NVDA_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2015-11-18,2.119999885559082,0.07070700259442764,0.7570390105247498,0.024599572654847357,0.04610742993958028,0.04610742993958028,0.03130015207210525,0.02079964502336448,1,1,1.0,10,0.12423602787003485,-2.0,10.0,4.239999771118164,-7.570390105247498,0.0,0.0,Opened,4.239999771118164,-7.570390105247498,0.0,0.03130015207210525,11.810389876365662,0.0,0.0,0,0.0,11.810389876365662
2015-11-19,2.140000104904175,0.009434066238082961,0.7592348456382751,0.002900557412494953,0.006533508825588008,0.006533508825588008,0.03130790753459281,0.020798852141239447,1,1,0.0,10,0.10907993801306735,2.0,-10.0,-4.28000020980835,7.5923484563827515,-0.04000043869018555,0.021958351135253906,Live,0.0,0.0,0.0,0.03130790753459281,11.872348666191101,-0.01804208755493164,-0.0015196729865515246,0,0.0,0.0
2015-11-20,2.2200000286102295,0.037383140086171496,0.7658220529556274,0.008676113004026487,0.02870702708214501,0.02870702708214501,0.03143074616057973,0.020803134768922756,1,1,0.0,10,0.08006160829386205,2.0,-10.0,-4.440000057220459,7.658220529556274,-0.20000028610229492,0.08783042430877686,Live,0.0,0.0,0.0,0.03143074616057973,12.098220586776733,-0.11216986179351807,-0.009271599983564435,0,0.0,0.0
2015-11-21,2.2200000286102295,0.0,0.7658220529556274,0.0,0.0,0.0,0.03143074616057973,0.020803134768922756,1,1,0.0,10,,2.0,-10.0,-4.440000057220459,7.658220529556274,-0.20000028610229492,0.08783042430877686,Live,0.0,0.0,0.0,0.03143074616057973,12.098220586776733,-0.11216986179351807,-0.009271599983564435,0,0.0,0.0
2015-11-22,2.2200000286102295,0.0,0.7658220529556274,0.0,0.0,0.0,0.03136718329349926,0.02079366485921583,1,1,0.0,10,,2.0,-10.0,-4.440000057220459,7.658220529556274,-0.20000028610229492,0.08783042430877686,Live,0.0,0.0,0.0,0.03136718329349926,12.098220586776733,-0.11216986179351807,-0.009271599983564435,0,0.0,0.0
2015-11-23,2.2200000286102295,0.0,0.7543553709983826,-0.014973037029934244,0.014973037029934244,0.014973037029934244,0.031304072053967284,0.020479866609787036,1,1,0.0,10,inf,2.0,-10.0,-4.440000057220459,7.543553709983826,-0.20000028610229492,-0.026836395263671875,Live,0.0,0.0,0.0,0.031304072053967284,11.983553767204285,-0.2268366813659668,-0.018928999341310326,0,0.0,0.0
2015-11-24,2.3399999141693115,0.054054001807470664,0.7604546546936035,0.008085424893506943,0.04596857691396372,0.04596857691396372,0.031556808882576316,0.020466376998533587,1,1,0.0,10,0.048610767322056145,2.0,-10.0,-4.679999828338623,7.604546546936035,-0.440000057220459,0.0341564416885376,Live,0.0,0.0,0.0,0.031556808882576316,12.284546375274658,-0.4058436155319214,-0.03303692323135111,1,-0.4058436155319214,0.0
2015-11-25,2.380000114440918,0.01709410330718164,0.7594788074493408,-0.0012832418583272887,0.01837734516550893,0.01837734516550893,0.031579374744856996,0.020467060638270057,1,1,0.0,10,0.02395525924037667,2.0,-10.0,-4.760000228881836,7.594788074493408,-0.5200004577636719,0.024397969245910645,Live,0.0,0.0,0.0,0.031579374744856996,12.354788303375244,-0.49560248851776123,-0.040114203201876475,1,0.0,0.0
2015-11-26,2.380000114440918,0.0,0.7594788074493408,0.0,0.0,0.0,0.031579374744856996,0.020467060638270057,1,1,0.0,10,,2.0,-10.0,-4.760000228881836,7.594788074493408,-0.5200004577636719,0.024397969245910645,Live,0.0,0.0,0.0,0.031579374744856996,12.354788303375244,-0.49560248851776123,-0.040114203201876475,1,0.0,0.0
2015-11-27,2.3299999237060547,-0.021008482491862712,0.7658220529556274,0.008352103368874708,-0.02936058586073742,0.02936058586073742,0.0316209042783571,0.02047164389619369,0,0,-1.0,10,0.13066917198957922,2.0,-10.0,-4.659999847412109,7.658220529556274,-0.4200000762939453,0.08783042430877686,Closed,-4.659999847412109,7.658220529556274,-0.33216965198516846,0.0316209042783571,12.318220376968384,-0.33216965198516846,-0.02696571759718088,0,0.0,0.0
2015-11-28,2.3299999237060547,0.0,0.7658220529556274,0.0,0.0,0.0,0.031604082070464494,0.020460878230223054,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.031604082070464494,0.0,0.0,0.0,0,0.0,0.0
2015-11-29,2.3299999237060547,0.0,0.7658220529556274,0.0,0.0,0.0,0.03156288512961508,0.020396302716494386,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.03156288512961508,0.0,0.0,0.0,0,0.0,0.0
2015-11-30,2.359999895095825,0.012875524623216839,0.7738732099533081,0.0105130910850737,0.0023624335381431383,0.0023624335381431383,0.031568464228491966,0.020381562948757613,1,0,0.0,10,0.26774620393999504,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.031568464228491966,0.0,0.0,0.0,0,0.0,0.0
