index,KO_Close,KO_dailyReturns,PEP_Close,PEP_dailyReturns,spread,abs_sprd,KO_rolling avg,PEP_rolling avg,isSprdPos,signal,axe,leverage,ratio,KO_Size,PEP_Size,KO_Cashflow,PEP_Cashflow,KO_MTM,PEP_MTM,Live Trades,KO_PnL,PEP_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2010-12-14,20.741878509521484,-0.014649617986739694,43.55941390991211,0.0009152907283993539,-0.015564908715139048,0.015564908715139048,,,0,0,0.0,10,0.13120993029881403,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-12-15,21.014549255371094,0.01314590410528349,43.32697677612305,-0.00533609415107783,0.01848199825636132,0.01848199825636132,,,1,0,0.0,10,0.8368956894839067,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-12-16,21.20931053161621,0.0092679254681296,43.66567611694336,0.00781728535019699,0.0014506401179326112,0.0014506401179326112,,,1,0,0.0,10,1.7365491143403926,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-12-17,21.32616424560547,0.005509547979650975,43.811790466308594,0.003346206044626765,0.00216334193502421,0.00216334193502421,,,1,0,0.0,10,1.2477137532746903,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-12-18,21.32616424560547,0.0,43.811790466308594,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-12-19,21.32616424560547,0.0,43.811790466308594,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-12-20,21.199575424194336,-0.005935845750471458,44.0375862121582,0.005153766678931859,-0.011089612429403317,0.011089612429403317,,,0,0,0.0,10,1.8035927868636648,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-12-21,21.25800323486328,0.00275608400167604,43.433231353759766,-0.013723614538881823,0.016479698540557863,0.016479698540557863,,,1,0,0.0,10,10.173625191927037,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-12-22,21.29046630859375,0.0015270989176081606,43.61918640136719,0.0042814002507167714,-0.002754301333108611,0.002754301333108611,,,0,0,0.0,10,5.743955253280396,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-12-23,21.287216186523438,-0.0001526562181966007,43.62583541870117,0.00015243331851277908,-0.00030508953670937977,0.00030508953670937977,,,0,0,0.0,10,2.0463988876222925,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-12-24,21.287216186523438,0.0,43.62583541870117,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-12-25,21.287216186523438,0.0,43.62583541870117,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
