index,2330.TW_Close,2330.TW_dailyReturns,NVDA_Close,NVDA_dailyReturns,spread,abs_sprd,2330.TW_rolling avg,NVDA_rolling avg,isSprdPos,signal,axe,leverage,ratio,2330.TW_Size,NVDA_Size,2330.TW_Cashflow,NVDA_Cashflow,2330.TW_MTM,NVDA_MTM,Live Trades,2330.TW_PnL,NVDA_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2017-05-18,162.3992919921875,-0.0024507113830186666,3.281855821609497,0.04188861039797964,-0.04433932178099831,0.04433932178099831,0.007263048258306811,0.02737974621027302,0,0,-1.0,10,0.3454133761531839,6.0,-10.0,-974.395751953125,32.81855821609497,2.393829345703125,1.3194537162780762,Closed,-974.395751953125,32.81855821609497,3.713283061981201,0.02737974621027302,1007.21431016922,3.713283061981201,0.00368668616449397,0,3.713283061981201,0.0
2017-05-19,162.00027465820312,-0.00245701399981213,3.357649326324463,0.023094708858293123,-0.025551722858105252,0.025551722858105252,0.007242580818695392,0.027458130114646533,0,0,0.0,10,0.1948159210864814,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.027458130114646533,0.0,0.0,0.0,0,0.0,0.0
2017-05-20,162.00027465820312,0.0,3.357649326324463,0.0,0.0,0.0,0.007241289375293245,0.027380222311296522,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.027380222311296522,0.0,0.0,0.0,0,0.0,0.0
2017-05-21,162.00027465820312,0.0,3.357649326324463,0.0,0.0,0.0,0.007205861520287996,0.02725818410271928,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.02725818410271928,0.0,0.0,0.0,0,0.0,0.0
2017-05-22,163.59634399414062,0.009852263147732243,3.429246425628662,0.02132357859496148,-0.011471315447229236,0.011471315447229236,0.007260199858053553,0.027324292450229194,0,0,0.0,10,0.045367953470914164,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.027324292450229194,0.0,0.0,0.0,0,0.0,0.0
2017-05-23,163.59634399414062,0.0,3.3830788135528564,-0.013462903024632267,0.013462903024632267,0.013462903024632267,0.007260199858053553,0.027369326680062745,1,0,0.0,10,inf,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.027369326680062745,0.0,0.0,0.0,0,0.0,0.0
2017-05-24,163.99533081054688,0.0024388492228197833,3.4210996627807617,0.011238534874088879,-0.008799685651269096,0.008799685651269096,0.007194601223481552,0.02694297159939517,0,0,0.0,10,0.0961300102857043,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.02694297159939517,0.0,0.0,0.0,0,0.0,0.0
2017-05-25,165.19241333007812,0.007299491477072317,3.413445234298706,-0.002237417566442357,0.009536909043514674,0.009536909043514674,0.007221918770072973,0.02694758232467044,1,0,0.0,10,0.006333696941179557,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.02694758232467044,0.0,0.0,0.0,0,0.0,0.0
2017-05-26,165.19241333007812,0.0,3.5018310546875,0.025893434439985263,-0.025893434439985263,0.025893434439985263,0.0071879999866291235,0.027046424912409047,0,0,0.0,10,inf,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.027046424912409047,0.0,0.0,0.0,0,0.0,0.0
2017-05-27,165.19241333007812,0.0,3.5018310546875,0.0,0.0,0.0,0.0071879999866291235,0.026979678321917167,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.026979678321917167,0.0,0.0,0.0,0,0.0,0.0
2017-05-28,165.19241333007812,0.0,3.5018310546875,0.0,0.0,0.0,0.007186511378016419,0.026979450271953392,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.026979450271953392,0.0,0.0,0.0,0,0.0,0.0
2017-05-29,165.19241333007812,0.0,3.5018310546875,0.0,0.0,0.0,0.007186511378016419,0.026979450271953392,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.026979450271953392,0.0,0.0,0.0,0,0.0,0.0
2017-05-30,165.19241333007812,0.0,3.5766375064849854,0.021362096180325585,-0.021362096180325585,0.021362096180325585,0.007186511378016419,0.027038580991345828,0,0,0.0,10,inf,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.027038580991345828,0.0,0.0,0.0,0,0.0,0.0
2017-05-31,162.00027465820312,-0.01932376074376152,3.563800096511841,-0.0035892398795986935,-0.015734520864162826,0.015734520864162826,0.007463381638822138,0.027045503156566623,0,0,0.0,10,0.004086094601763848,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.027045503156566623,0.0,0.0,0.0,0,0.0,0.0
2017-06-01,165.19241333007812,0.019704526295464264,3.5640461444854736,6.90409021184557e-05,0.01963548539334581,0.01963548539334581,0.007701315962473593,0.026847639693688006,1,0,0.0,10,7.559510578261208e-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.026847639693688006,0.0,0.0,0.0,0,0.0,0.0
2017-06-02,166.7884521484375,0.009661695632294354,3.5462703704833984,-0.004987526334242043,0.014649221966536397,0.014649221966536397,0.007699221465472788,0.026855744109261268,1,0,0.0,10,0.010975838672510337,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.026855744109261268,0.0,0.0,0.0,0,0.0,0.0
2017-06-03,166.7884521484375,0.0,3.5462703704833984,0.0,0.0,0.0,0.007699221465472788,0.025059455515236334,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.025059455515236334,0.0,0.0,0.0,0,0.0,0.0
2017-06-04,166.7884521484375,0.0,3.5462703704833984,0.0,0.0,0.0,0.00769825630680326,0.02505560767192787,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.02505560767192787,0.0,0.0,0.0,0,0.0,0.0
2017-06-05,169.1825714111328,0.014354226757645083,3.6541593074798584,0.030423212481047734,-0.01606898572340265,0.01606898572340265,0.007811739638788196,0.02519345637415313,0,0,0.0,10,0.04577803253867059,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.02519345637415313,0.0,0.0,0.0,0,0.0,0.0
2017-06-06,167.98550415039062,-0.007075594434802546,3.6376187801361084,-0.004526493223733441,-0.0025491012110691047,0.0025491012110691047,0.00785445522349038,0.025204949251722734,0,0,0.0,10,0.0138530154682707,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.025204949251722734,0.0,0.0,0.0,0,0.0,0.0
2017-06-07,168.7835235595703,0.004750525429058738,3.681563377380371,0.012080594449377147,-0.007330069020318408,0.007330069020318408,0.007862046059761037,0.025091532095581202,0,0,0.0,10,0.0554688152647375,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.025091532095581202,0.0,0.0,0.0,0,0.0,0.0
2017-06-08,169.98057556152344,0.00709223256339131,3.9486944675445557,0.07255914479306425,-0.06546691222967294,0.06546691222967294,0.007883473252424758,0.025805115361422153,0,1,1.0,10,0.23766401131628268,3.0,-10.0,-509.9417266845703,39.48694467544556,0.0,0.0,Opened,-509.9417266845703,39.48694467544556,0.0,0.025805115361422153,549.4286713600159,0.0,0.0,0,0.0,549.4286713600159
2017-06-09,169.1825714111328,-0.004694678481670378,3.6934146881103516,-0.06464915974948715,0.05995448126781677,0.05995448126781677,0.007716033595022887,0.026711115608961902,1,0,-1.0,10,0.3006280365942156,-3.0,10.0,507.54771423339844,-36.934146881103516,-2.394012451171875,2.552797794342041,Closed,507.54771423339844,-36.934146881103516,0.15878534317016602,0.026711115608961902,544.481861114502,0.15878534317016602,0.00029162650679519003,0,0.15878534317016602,0.0
2017-06-10,169.1825714111328,0.0,3.6934146881103516,0.0,0.0,0.0,0.007716033595022887,0.026392296788645304,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.026392296788645304,0.0,0.0,0.0,0,0.0,0.0
2017-06-11,169.1825714111328,0.0,3.6934146881103516,0.0,0.0,0.0,0.007620158811898317,0.02637601907330187,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.02637601907330187,0.0,0.0,0.0,0,0.0,0.0
2017-06-12,165.5913848876953,-0.021226693113148842,3.702550172805786,0.002473452202603532,-0.023700145315752374,0.023700145315752374,0.007949382460162099,0.026372882683718724,0,0,0.0,10,0.002605459911315023,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.026372882683718724,0.0,0.0,0.0,0,0.0,0.0
2017-06-13,165.99041748046875,0.002409742469658527,3.737854242324829,0.009535068499096022,-0.007125326029437495,0.007125326029437495,0.007949256767539286,0.026373466533362318,0,0,0.0,10,0.0891030418259064,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.026373466533362318,0.0,0.0,0.0,0,0.0,0.0
2017-06-14,165.19241333007812,-0.00480753143767787,3.7457542419433594,0.0021135119526802804,-0.00692104339035815,0.00692104339035815,0.007962551130266362,0.02634516886344064,0,0,0.0,10,0.009968544627649805,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.02634516886344064,0.0,0.0,0.0,0,0.0,0.0
2017-06-15,165.99041748046875,0.004830755446354029,3.7618024349212646,0.004284368899113655,0.0005463865472403739,0.0005463865472403739,0.00791112671987588,0.02633775197369129,1,0,0.0,10,0.02009947768845913,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.02633775197369129,0.0,0.0,0.0,0,0.0,0.0
2017-06-16,168.7835235595703,0.01682691158620786,3.743285655975342,-0.004922315636257113,0.021749227222464973,0.021749227222464973,0.008035548228736753,0.02634731209369575,1,0,0.0,10,0.006487658286479743,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.02634731209369575,0.0,0.0,0.0,0,0.0,0.0
2017-06-17,168.7835235595703,0.0,3.743285655975342,0.0,0.0,0.0,0.007899696007826541,0.026346942057110762,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.026346942057110762,0.0,0.0,0.0,0,0.0,0.0
2017-06-18,168.7835235595703,0.0,3.743285655975342,0.0,0.0,0.0,0.007870990051862889,0.026350745485054682,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.026350745485054682,0.0,0.0,0.0,0,0.0,0.0
2017-06-19,169.98057556152344,0.00709223256339131,3.8840105533599854,0.03759395096123819,-0.030501718397846878,0.030501718397846878,0.007889707778914163,0.026551871947352444,0,1,1.0,10,0.12112006861069297,2.0,-10.0,-339.9611511230469,38.84010553359985,0.0,0.0,Opened,-339.9611511230469,38.84010553359985,0.0,0.026551871947352444,378.80125665664673,0.0,0.0,0,0.0,378.80125665664673
2017-06-20,172.77371215820312,0.01643209282856395,3.8783318996429443,-0.0014620592912983899,0.01789415211986234,0.01789415211986234,0.00802758866532412,0.026555041463462114,1,0,-1.0,10,0.001997282115921949,-2.0,10.0,345.54742431640625,-38.78331899642944,5.586273193359375,0.056786537170410156,Closed,345.54742431640625,-38.78331899642944,5.643059730529785,0.026555041463462114,384.3307433128357,5.643059730529785,0.014682821576770075,0,5.643059730529785,0.0
2017-06-21,171.97569274902344,-0.004618870540033071,3.9370903968811035,0.015150456113250277,-0.019769326653283348,0.019769326653283348,0.007913778410267651,0.02647739778065525,0,0,0.0,10,0.07509278937934964,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.02647739778065525,0.0,0.0,0.0,0,0.0,0.0
2017-06-22,173.9707489013672,0.011600803116143199,3.9099338054656982,-0.006897629639623815,0.018498432755767014,0.018498432755767014,0.007966669940381811,0.0264977599927305,1,0,0.0,10,0.01336303135493053,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0264977599927305,0.0,0.0,0.0,0,0.0,0.0
2017-06-23,173.17269897460938,-0.004587264995969287,3.7978477478027344,-0.028666996230544584,0.024079731234575297,0.024079731234575297,0.00799000349466741,0.026706109058547468,1,0,0.0,10,0.13705234942975597,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.026706109058547468,0.0,0.0,0.0,0,0.0,0.0
2017-06-24,173.17269897460938,0.0,3.7978477478027344,0.0,0.0,0.0,0.007799600181165227,0.026697777160917795,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.026697777160917795,0.0,0.0,0.0,0,0.0,0.0
2017-06-25,173.17269897460938,0.0,3.7978477478027344,0.0,0.0,0.0,0.007772694980783133,0.02664249270777913,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.02664249270777913,0.0,0.0,0.0,0,0.0,0.0
2017-06-26,177.29588317871094,0.02380966646888205,3.7563703060150146,-0.010921301890450152,0.034730968359332204,0.034730968359332204,0.008091215609633554,0.02668170688389054,1,1,1.0,10,0.009718312227796538,-1.0,10.0,177.29588317871094,-37.56370306015015,0.0,0.0,Opened,177.29588317871094,-37.56370306015015,0.0,0.02668170688389054,214.85958623886108,0.0,0.0,0,0.0,214.85958623886108
2017-06-27,174.40965270996094,-0.01627917364466236,3.6188549995422363,-0.03660855966531773,0.02032938602065537,0.02032938602065537,0.008283560459034243,0.026986029042663978,1,1,0.0,10,0.046660667943428415,1.0,-10.0,-174.40965270996094,36.18854999542236,2.88623046875,-1.3751530647277832,Live,0.0,0.0,0.0,0.026986029042663978,210.5982027053833,1.5110774040222168,0.007175167615918076,0,0.0,0.0
2017-06-28,171.93576049804688,-0.014184376687155553,3.746494770050049,0.035270761200423495,-0.04945513788757905,0.04945513788757905,0.008427212214395803,0.027024181872838594,0,0,-1.0,10,0.054183055627789,1.0,-10.0,-171.93576049804688,37.46494770050049,5.3601226806640625,-0.0987553596496582,Closed,-171.93576049804688,37.46494770050049,5.261367321014404,0.027024181872838594,209.40070819854736,5.261367321014404,0.02512583346196583,0,5.261367321014404,0.0
2017-06-29,173.1727294921875,0.007194367190149986,3.621324062347412,-0.033410084728602074,0.04060445191875206,0.04060445191875206,0.008272001772908655,0.027038730136539027,1,1,1.0,10,0.09711199261167035,-1.0,10.0,173.1727294921875,-36.21324062347412,0.0,0.0,Opened,173.1727294921875,-36.21324062347412,0.0,0.027038730136539027,209.38597011566162,0.0,0.0,0,0.0,209.38597011566162
2017-06-30,171.93576049804688,-0.007142977983704002,3.5689845085144043,-0.014453153855300216,0.007310175871596214,0.007310175871596214,0.008266282814964675,0.027044908959446987,1,1,0.0,10,0.042001206246116064,1.0,-10.0,-171.93576049804688,35.68984508514404,1.236968994140625,-0.5233955383300781,Live,0.0,0.0,0.0,0.027044908959446987,207.62560558319092,0.7135734558105469,0.003436827812283654,0,0.0,0.0
2017-07-01,171.93576049804688,0.0,3.5689845085144043,0.0,0.0,0.0,0.008266282814964675,0.027018307092757043,1,1,0.0,10,,1.0,-10.0,-171.93576049804688,35.68984508514404,1.236968994140625,-0.5233955383300781,Live,0.0,0.0,0.0,0.027018307092757043,207.62560558319092,0.7135734558105469,0.003436827812283654,0,0.0,0.0
2017-07-02,171.93576049804688,0.0,3.5689845085144043,0.0,0.0,0.0,0.00824276744605479,0.027020389632396977,1,1,0.0,10,,1.0,-10.0,-171.93576049804688,35.68984508514404,1.236968994140625,-0.5233955383300781,Live,0.0,0.0,0.0,0.027020389632396977,207.62560558319092,0.7135734558105469,0.003436827812283654,0,0.0,0.0
