index,GLD_Close,GLD_dailyReturns,COPX_Close,COPX_dailyReturns,spread,abs_sprd,GLD_rolling avg,COPX_rolling avg,isSprdPos,signal,axe,leverage,ratio,GLD_Size,COPX_Size,GLD_Cashflow,COPX_Cashflow,GLD_MTM,COPX_MTM,Live Trades,GLD_PnL,COPX_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2019-10-02,141.25999450683594,0.011673634369571584,14.698715209960938,-0.023880559771888077,0.03555419414145966,0.03555419414145966,0.007160772029554649,0.01260116118372045,1,1,0.0,10,0.21286222942514338,5.0,-10.0,-706.2999725341797,146.98715209960938,-8.149948120117188,-3.596010208129883,Live,0.0,0.0,0.0,0.01260116118372045,853.2871246337891,-11.74595832824707,-0.013765540331208163,1,-11.74595832824707,0.0
2019-10-03,141.89999389648438,0.004530648552570016,14.79760456085205,0.006727754737645197,-0.0021971061850751816,0.0021971061850751816,0.0071657601951604,0.012616278892004066,0,0,-1.0,10,0.15485271230326475,5.0,-10.0,-709.4999694824219,147.9760456085205,-11.349945068359375,-2.60711669921875,Closed,-709.4999694824219,147.9760456085205,-13.957061767578125,0.012616278892004066,857.4760150909424,-13.957061767578125,-0.016276912149079604,1,0.0,0.0
2019-10-04,141.89999389648438,0.0,14.77962589263916,-0.0012149715272466999,0.0012149715272466999,0.0012149715272466999,0.0071657601951604,0.012615695222628372,1,0,0.0,10,inf,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.012615695222628372,0.0,0.0,0.0,0,0.0,0.0
2019-10-05,141.89999389648438,0.0,14.77962589263916,0.0,0.0,0.0,0.007161292980644346,0.01258327966302425,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.01258327966302425,0.0,0.0,0.0,0,0.0,0.0
2019-10-06,141.89999389648438,0.0,14.77962589263916,0.0,0.0,0.0,0.00715401693976957,0.012574600903912693,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.012574600903912693,0.0,0.0,0.0,0,0.0,0.0
2019-10-07,140.69000244140625,-0.008527071931805796,14.743664741516113,-0.0024331570625855115,-0.006093914869220285,0.006093914869220285,0.0071856997703203555,0.012570530318078508,0,0,0.0,10,0.02990283930871191,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.012570530318078508,0.0,0.0,0.0,0,0.0,0.0
2019-10-08,141.9199981689453,0.00874259511120079,14.617805480957031,-0.00853649772737164,0.01727909283857243,0.01727909283857243,0.007138127302725122,0.012542868889227916,1,1,1.0,10,0.10057219873075554,-2.0,10.0,283.8399963378906,-146.1780548095703,0.0,0.0,Opened,283.8399963378906,-146.1780548095703,0.0,0.012542868889227916,430.01805114746094,0.0,0.0,0,0.0,430.01805114746094
2019-10-09,142.0500030517578,0.0009160434363713055,14.563863754272461,-0.0036901384927334746,0.00460618192910478,0.00460618192910478,0.0071367778530530765,0.012451532963113635,1,1,0.0,10,0.41301132321417544,2.0,-10.0,-284.1000061035156,145.6386375427246,-0.260009765625,-0.5394172668457031,Live,0.0,0.0,0.0,0.012451532963113635,429.73864364624023,-0.7994270324707031,-0.0018602633118765773,0,0.0,0.0
2019-10-10,140.80999755859375,-0.008729359144837523,14.959425926208496,0.027160524062166846,-0.03588988320700437,0.03588988320700437,0.007172352868160178,0.012636964015914494,0,0,-1.0,10,0.3305500448225924,2.0,-10.0,-281.6199951171875,149.59425926208496,2.220001220703125,3.4162044525146484,Closed,-281.6199951171875,149.59425926208496,5.636205673217773,0.012636964015914494,431.21425437927246,5.636205673217773,0.013070545827226934,0,5.636205673217773,0.0
2019-10-11,140.02999877929688,-0.005539370732339566,15.435894966125488,0.03185075699210027,-0.03739012772443984,0.03739012772443984,0.0071878021473417335,0.012881174002041121,0,1,1.0,10,0.6338260087153399,7.0,-10.0,-980.2099914550781,154.35894966125488,0.0,0.0,Opened,-980.2099914550781,154.35894966125488,0.0,0.012881174002041121,1134.568941116333,0.0,0.0,0,0.0,1134.568941116333
2019-10-12,140.02999877929688,0.0,15.435894966125488,0.0,0.0,0.0,0.007185235847001686,0.012881644458221861,1,0,-1.0,10,,-7.0,10.0,980.2099914550781,-154.35894966125488,0.0,0.0,Closed,980.2099914550781,-154.35894966125488,0.0,0.012881644458221861,1134.568941116333,0.0,0.0,0,0.0,0.0
2019-10-13,140.02999877929688,0.0,15.435894966125488,0.0,0.0,0.0,0.007148085288595586,0.01287579205184407,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.01287579205184407,0.0,0.0,0.0,0,0.0,0.0
2019-10-14,140.58999633789062,0.003999125640758994,15.399937629699707,-0.002329462367079538,0.0063285880078385315,0.0063285880078385315,0.007148866171831991,0.01280882292243597,1,0,0.0,10,0.06380507043683474,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.01280882292243597,0.0,0.0,0.0,0,0.0,0.0
2019-10-15,139.61000061035156,-0.006970593591764218,15.381958961486816,-0.0011674507160481795,-0.005803142875716039,0.005803142875716039,0.0071728470875408856,0.012797074584340748,0,0,0.0,10,0.018452869590661555,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.012797074584340748,0.0,0.0,0.0,0,0.0,0.0
2019-10-16,140.41000366210938,0.0057302703836425994,15.328017234802246,-0.003506817747962354,0.009237088131604954,0.009237088131604954,0.007181765626486452,0.01279734338145048,1,0,0.0,10,0.06680762155368958,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.01279734338145048,0.0,0.0,0.0,0,0.0,0.0
2019-10-17,140.61000061035156,0.0014243781997433924,15.417917251586914,0.005865078007646574,-0.004440699807903181,0.004440699807903181,0.007181573644369278,0.012808869576751,0,0,0.0,10,0.451500229056306,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.012808869576751,0.0,0.0,0.0,0,0.0,0.0
