index,2330.TW_Close,2330.TW_dailyReturns,2454.TW_Close,2454.TW_dailyReturns,spread,abs_sprd,2330.TW_rolling avg,2454.TW_rolling avg,isSprdPos,signal,axe,leverage,ratio,2330.TW_Size,2454.TW_Size,2330.TW_Cashflow,2454.TW_Cashflow,2330.TW_MTM,2454.TW_MTM,Live Trades,2330.TW_PnL,2454.TW_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2024-09-09,891.5833129882812,-0.020697178929353632,1082.3533935546875,-0.034934465496604505,0.014237286567250873,0.014237286567250873,0.02354743626352212,0.028102744099286255,1,0,0.0,5,2.0490384135376103,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.028102744099286255,0.0,0.0,0.0,0,0.0,0.0
2024-09-10,896.5420532226562,0.005561723915351147,1106.8409423828125,0.022624356309081772,-0.017062632393730626,0.017062632393730626,0.02335155905092658,0.028093151556830988,0,0,0.0,5,5.02205373482289,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.028093151556830988,0.0,0.0,0.0,0,0.0,0.0
2024-09-11,893.5668334960938,-0.0033185501069000756,1087.2508544921875,-0.01769909942837078,0.014380549321470704,0.014380549321470704,0.023302024434190702,0.027241959641087964,1,0,0.0,5,6.489414375318494,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.027241959641087964,0.0,0.0,0.0,0,0.0,0.0
2024-09-12,936.4022216796875,0.047937531450221504,1131.32861328125,0.04054056026440156,0.007396971185819945,0.007396971185819945,0.023840800449914747,0.027590743487597137,1,0,0.0,5,1.021740047309124,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.027590743487597137,0.0,0.0,0.0,0,0.0,0.0
2024-09-13,943.37548828125,0.007446871056173032,1101.9434814453125,-0.025974002151956777,0.03342087320812981,0.03342087320812981,0.023851796804472004,0.027710714683453284,1,1,1.0,5,4.0741758538172155,-21.0,5.0,19810.88525390625,-5509.7174072265625,0.0,0.0,Opened,19810.88525390625,-5509.7174072265625,0.0,0.027710714683453284,25320.602661132812,0.0,0.0,0,0.0,25320.602661132812
2024-09-14,943.37548828125,0.0,1101.9434814453125,0.0,0.0,0.0,0.023851796804472004,0.027710714683453284,1,1,0.0,5,,21.0,-5.0,-19810.88525390625,5509.7174072265625,0.0,0.0,Live,0.0,0.0,0.0,0.027710714683453284,25320.602661132812,0.0,0.0,0,0.0,0.0
2024-09-15,943.37548828125,0.0,1101.9434814453125,0.0,0.0,0.0,0.02385119429034846,0.027694702596352292,1,1,0.0,5,,21.0,-5.0,-19810.88525390625,5509.7174072265625,0.0,0.0,Live,0.0,0.0,0.0,0.027694702596352292,25320.602661132812,0.0,0.0,0,0.0,0.0
2024-09-16,943.37548828125,0.0,1106.8409423828125,0.004444384870879725,-0.004444384870879725,0.004444384870879725,0.023722187659263566,0.027622494694756722,0,0,-1.0,5,inf,21.0,-5.0,-19810.88525390625,5534.2047119140625,0.0,24.4873046875,Closed,-19810.88525390625,5534.2047119140625,24.4873046875,0.027622494694756722,25345.089965820312,24.4873046875,0.0009661557611562201,0,24.4873046875,0.0
2024-09-17,943.37548828125,0.0,1106.8409423828125,0.0,0.0,0.0,0.023337435700177826,0.026904830383649547,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.026904830383649547,0.0,0.0,0.0,0,0.0,0.0
2024-09-18,937.3984375,-0.006335813104641597,1082.3533935546875,-0.02212381914189776,0.015788006037256164,0.015788006037256164,0.023346775745770303,0.02695058423988993,1,0,0.0,5,4.031833597695539,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.02695058423988993,0.0,0.0,0.0,0,0.0,0.0
2024-09-19,956.32568359375,0.020191249885404217,1097.0458984375,0.013574591228987742,0.006616658656416474,0.006616658656416474,0.02341401392226508,0.02700225813908247,1,0,0.0,5,0.7712275504919702,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.02700225813908247,0.0,0.0,0.0,0,0.0,0.0
2024-09-20,969.2759399414062,0.013541679963033904,1101.9434814453125,0.0044643373762101035,0.0090773425868238,0.0090773425868238,0.023456132953183658,0.02701111811647167,1,0,0.0,5,0.37479721004850014,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.02701111811647167,0.0,0.0,0.0,0,0.0,0.0
2024-09-21,969.2759399414062,0.0,1101.9434814453125,0.0,0.0,0.0,0.023456132953183658,0.02701111811647167,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.02701111811647167,0.0,0.0,0.0,0,0.0,0.0
2024-09-22,969.2759399414062,0.0,1101.9434814453125,0.0,0.0,0.0,0.023217963918076897,0.02645528932094427,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.02645528932094427,0.0,0.0,0.0,0,0.0,0.0
2024-09-23,973.2606201171875,0.004110986367847014,1121.5335693359375,0.017777761038098472,-0.013666774670251458,0.013666774670251458,0.023215613834585452,0.02648156357379557,0,0,0.0,5,4.9832669599163735,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.02648156357379557,0.0,0.0,0.0,0,0.0,0.0
2024-09-24,983.2223510742188,0.01023541973354658,1170.5087890625,0.04366808187075555,-0.03343266213720897,0.03343266213720897,0.023181765022712783,0.026856082558447954,0,1,1.0,5,5.079037220435914,26.0,-5.0,-25563.781127929688,5852.5439453125,0.0,0.0,Opened,-25563.781127929688,5852.5439453125,0.0,0.026856082558447954,31416.325073242188,0.0,0.0,0,0.0,31416.325073242188
2024-09-25,1001.1534423828125,0.018237066406193048,1199.89404296875,0.025104684544731803,-0.006867618138538756,0.006867618138538756,0.023255815994395603,0.02699071639745861,0,1,0.0,5,1.6498408074830855,-26.0,5.0,26029.989501953125,-5999.47021484375,466.2083740234375,-146.92626953125,Live,0.0,0.0,0.0,0.02699071639745861,32029.459716796875,319.2821044921875,0.009968388705749842,0,0.0,0.0
2024-09-26,1011.1151733398438,0.00995025391244897,1243.9716796875,0.03673460750725477,-0.0267843535948058,0.0267843535948058,0.023268774664191444,0.027276448811963023,0,1,0.0,5,4.542041586642766,-26.0,5.0,26288.994506835938,-6219.8583984375,725.21337890625,-367.314453125,Live,0.0,0.0,0.0,0.027276448811963023,32508.852905273438,357.89892578125,0.011009275744798527,0,0.0,0.0
2024-09-27,996.172607421875,-0.014778302523748676,1234.1766357421875,-0.00787400879397282,-0.006904293729775857,0.006904293729775857,0.023327054830135512,0.027287546715004538,0,1,0.0,5,0.6601065892089235,-26.0,5.0,25900.48779296875,-6170.8831787109375,336.7066650390625,-318.3392333984375,Live,0.0,0.0,0.0,0.027287546715004538,32071.370971679688,18.367431640625,0.0005727049104587447,0,0.0,0.0
2024-09-28,996.172607421875,0.0,1234.1766357421875,0.0,0.0,0.0,0.023327054830135512,0.027287546715004538,1,0,-1.0,5,,-26.0,5.0,25900.48779296875,-6170.8831787109375,336.7066650390625,-318.3392333984375,Closed,25900.48779296875,-6170.8831787109375,18.367431640625,0.027287546715004538,32071.370971679688,18.367431640625,0.0005727049104587447,0,18.367431640625,0.0
2024-09-29,996.172607421875,0.0,1234.1766357421875,0.0,0.0,0.0,0.023326715017092887,0.027261173099385298,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.027261173099385298,0.0,0.0,0.0,0,0.0,0.0
2024-09-30,953.337158203125,-0.04300002720372875,1150.918701171875,-0.06746030686299964,0.02446027965927089,0.02446027965927089,0.023759754936868847,0.028154597515902335,1,0,0.0,5,1.8939901154491072,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.028154597515902335,0.0,0.0,0.0,0,0.0,0.0
2024-10-01,968.27978515625,0.01567402133080531,1185.201416015625,0.02978726021989475,-0.014113238889089441,0.014113238889089441,0.02372573488926386,0.028344494999727396,0,0,0.0,5,2.326169850149144,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.028344494999727396,0.0,0.0,0.0,0,0.0,0.0
2024-10-02,968.27978515625,0.0,1185.201416015625,0.0,0.0,0.0,0.023559446095399044,0.02834435866120914,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.02834435866120914,0.0,0.0,0.0,0,0.0,0.0
2024-10-03,968.27978515625,0.0,1185.201416015625,0.0,0.0,0.0,0.023559446095399044,0.028285404022194042,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.028285404022194042,0.0,0.0,0.0,0,0.0,0.0
2024-10-04,973.2606201171875,0.005144003868813307,1204.79150390625,0.016528910298202693,-0.011384906429389385,0.011384906429389385,0.02356579258445153,0.028344378588583206,0,0,0.0,5,3.977641893577869,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.028344378588583206,0.0,0.0,0.0,0,0.0,0.0
2024-10-05,973.2606201171875,0.0,1204.79150390625,0.0,0.0,0.0,0.02356579258445153,0.028344378588583206,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.028344378588583206,0.0,0.0,0.0,0,0.0,0.0
2024-10-06,973.2606201171875,0.0,1204.79150390625,0.0,0.0,0.0,0.023350208945098185,0.02778702818011053,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.02778702818011053,0.0,0.0,0.0,0,0.0,0.0
2024-10-07,1001.1534423828125,0.028659150169115577,1224.381591796875,0.016260147774207256,0.01239900239490832,0.01239900239490832,0.023543539297361485,0.02767367259642105,1,0,0.0,5,0.6938687470224416,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.02767367259642105,0.0,0.0,0.0,0,0.0,0.0
2024-10-08,1006.1343383789062,0.004975157438642963,1199.89404296875,-0.019999932204295523,0.024975089642938486,0.024975089642938486,0.023543934458948063,0.027693756565916335,1,0,0.0,5,4.794116913345227,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.027693756565916335,0.0,0.0,0.0,0,0.0,0.0
2024-10-09,1016.0960693359375,0.009900994904002314,1219.484130859375,0.01632651483305625,-0.0064255199290539355,0.0064255199290539355,0.023296293287982835,0.02773895630859584,0,0,0.0,5,1.979046652824441,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.02773895630859584,0.0,0.0,0.0,0,0.0,0.0
2024-10-10,1016.0960693359375,0.0,1219.484130859375,0.0,0.0,0.0,0.022965071666818267,0.02738959772455226,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.02738959772455226,0.0,0.0,0.0,0,0.0,0.0
2024-10-11,1041.0003662109375,0.024509785665518757,1273.35693359375,0.04417671486746655,-0.01966692920194779,0.01966692920194779,0.023108775885416086,0.027793494734676003,0,0,0.0,5,2.2047186649901334,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.027793494734676003,0.0,0.0,0.0,0,0.0,0.0
2024-10-12,1041.0003662109375,0.0,1273.35693359375,0.0,0.0,0.0,0.023108775885416086,0.027793494734676003,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.027793494734676003,0.0,0.0,0.0,0,0.0,0.0
2024-10-13,1041.0003662109375,0.0,1273.35693359375,0.0,0.0,0.0,0.023108775885416086,0.027790907011034347,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.027790907011034347,0.0,0.0,0.0,0,0.0,0.0
