Date,2330.TW_Close,2330.TW_dailyReturns,2454.TW_Close,2454.TW_dailyReturns,spread,abs_sprd,2330.TW_rolling avg,2454.TW_rolling avg,isSprdPos,signal,axe,leverage,ratio,2330.TW_Size,2454.TW_Size,Gross size,,2330.TW_Cashflow,2454.TW_Cashflow,2330.TW_MTM,2454.TW_MTM,Live Trades,2330.TW_PnL,2454.TW_PnL,Total PnL,riskThreshold,grossCashflow,weighted,,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital,,,
25/1/2019,226,0.015730337,248,0.014314928,0.001415409,0.001415409,0.010439082,0.011034118,1,0,0,5,0.998606511,0,0,0,0,0,0,0,0,,0,0,0,0.011034118,0, -   , -   ,0,0,0,0,0,0, -   ,
28/1/2019,229,0.013274336,248.5,0.002016129,0.011258207,0.011258207,0.010671675,0.011035069,1,1,1,5,0.16481488,-1,5,6,0.010974503,229,-1242.5,0,0,Opened,229,-1242.5,0,0.011035069,1471.5, 0.00 , 0.00 ,0,0,0,0,1471.5,0, -   ,
29/1/2019,222.5,-0.028384279,245.5,-0.012072435,-0.016311845,0.016311845,0.018952626,0.011616727,0,0,-1,5,0.46928694,1,-5,6,0.012839377,-222.5,1227.5,6.5,-15,Closed,-222.5,1227.5,-8.5,0.018952626,1450, 0.00 , 0.00 ,-8.5,-0.005862069,0,-8.5,0,-0.005862069,-0.000002 ,
30/1/2019,221,-0.006741573,243,-0.010183299,0.003441726,0.003441726,0.018407189,0.012792106,1,0,0,5,1.660891523,0,0,0,0,0,0,0,0,,0,0,0,0.018407189,0, -   , -   ,0,0,0,0,0,0, -   ,
11/2/2019,228,0.031674208,259.5,0.067901235,-0.036227026,0.036227026,0.023170194,0.032790182,0,1,1,5,2.439913441,13,-5,18,0.025842413,-2964,1297.5,0,0,Opened,-2964,1297.5,0,0.032790182,4261.5, 0.00 , 0.00 ,0,0,0,0,4261.5,0, -   ,
12/2/2019,230,0.00877193,257.5,-0.007707129,0.016479059,0.016479059,0.02257418,0.033927176,1,0,-1,5,0.983664237,-13,5,18,0.02572779,2990,-1287.5,26,10,Closed,2990,-1287.5,36,0.033927176,4277.5, 0.00 , 0.00 ,36,0.008416131,0,36,0,0.008416131, 0.000008 ,
13/2/2019,229,-0.004347826,259,0.005825243,-0.010173069,0.010173069,0.022079588,0.03380201,0,0,0,5,1.515326239,0,0,0,0,0,0,0,0,,0,0,0,0.03380201,0, -   , -   ,0,0,0,0,0,0, -   ,
14/2/2019,227,-0.008733624,255.5,-0.013513514,0.004779889,0.004779889,0.01685058,0.034029348,1,0,0,5,1.741561495,0,0,0,0,0,0,0,0,,0,0,0,0.034029348,0, -   , -   ,0,0,0,0,0,0, -   ,
15/2/2019,227,0,252,-0.01369863,0.01369863,0.01369863,0.016012626,0.034543374,1,0,0,5,inf,0,0,0,0,0,0,0,0,,0,0,0,0.034543374,0, -   , -   ,0,0,0,0,0,0, -   ,
18/2/2019,230,0.013215859,253.5,0.005952381,0.007263478,0.007263478,0.009095616,0.009898541,1,0,0,5,0.496415631,0,0,0,0,0,0,0,0,,0,0,0,0.009898541,0, -   , -   ,0,0,0,0,0,0, -   ,
