index,GLD_Close,GLD_dailyReturns,GC=F_Close,GC=F_dailyReturns,spread,abs_sprd,GLD_rolling avg,GC=F_rolling avg,isSprdPos,signal,axe,leverage,ratio,GLD_Size,GC=F_Size,GLD_Cashflow,GC=F_Cashflow,GLD_MTM,GC=F_MTM,Live Trades,GLD_PnL,GC=F_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,optimal,predicted
2011-12-29,150.33999633789062,-0.004568644951223,1539.9000244140625,-0.0147162324145607,0.0101475874633377,0.0101475874633377,0.013469450863226,0.0139654473896805,1,0,0.0,10,10.61996176877411,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0139654473896805,0.0,0.0,0.0,0,0.0,0,0
2011-12-30,151.99000549316406,0.0109751842188756,1565.800048828125,0.0168192895664882,-0.0058441053476125,0.0058441053476125,0.013492932247893,0.0140195267031058,0,0,0.0,10,10.70405382098802,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0140195267031058,0.0,0.0,0.0,0,0.0,0,0
2011-12-31,151.99000549316406,0.0,1565.800048828125,0.0,0.0,0.0,0.013492932247893,0.0140195267031058,1,0,0.0,10,10.70405382098802,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0140195267031058,0.0,0.0,0.0,0,0.0,0,0
2012-01-01,151.99000549316406,0.0,1565.800048828125,0.0,0.0,0.0,0.0134232430141823,0.0139404895751766,1,0,0.0,10,10.698966922850206,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0139404895751766,0.0,0.0,0.0,0,0.0,0,0
2012-01-02,151.99000549316406,0.0,1565.800048828125,0.0,0.0,0.0,0.013408412783605,0.0139180399865087,1,0,0.0,10,10.693551862072551,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0139180399865087,0.0,0.0,0.0,0,0.0,0,0
2012-01-03,155.9199981689453,0.0258569151506347,1599.699951171875,0.021650211576581,0.0042067035740536,0.0042067035740536,0.01354373398321,0.0140092325894464,1,0,0.0,10,10.612376304184036,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0140092325894464,0.0,0.0,0.0,0,0.0,0,0
2012-01-04,156.7100067138672,0.0050667557349883,1611.9000244140625,0.0076264759733537,-0.0025597202383653,0.0025597202383653,0.0135381252470988,0.0140104655016245,0,0,0.0,10,10.644748625982167,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0140104655016245,0.0,0.0,0.0,0,0.0,0,0
2012-01-05,157.77999877929688,0.0068278477416146,1619.4000244140625,0.0046528940296568,0.0021749537119577,0.0021749537119577,0.0135467711615593,0.0140141122721428,1,0,0.0,10,10.61773766760384,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0140141122721428,0.0,0.0,0.0,0,0.0,0,0
2012-01-06,157.1999969482422,-0.003676016196869,1616.0999755859375,-0.0020378218959945,-0.0016381943008745,0.0016381943008745,0.0135500924090971,0.0140152387935909,0,0,0.0,10,10.633443679009016,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0140152387935909,0.0,0.0,0.0,0,0.0,0,0
2012-01-07,157.1999969482422,0.0,1616.0999755859375,0.0,0.0,0.0,0.0135348570246002,0.0140110766405088,1,0,0.0,10,10.642251710363881,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0140110766405088,0.0,0.0,0.0,0,0.0,0,0
2012-01-08,157.1999969482422,0.0,1616.0999755859375,0.0,0.0,0.0,0.013523219841909,0.0139978578364523,1,0,0.0,10,10.641360610277454,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0139978578364523,0.0,0.0,0.0,0,0.0,0,0
2012-01-09,156.5,-0.004452906881879,1607.5,-0.0053214378540037,0.0008685309721246,0.0008685309721246,0.0135118795940658,0.0139609230955064,1,0,0.0,10,10.612922869149202,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0139609230955064,0.0,0.0,0.0,0,0.0,0,0
2012-01-10,158.63999938964844,0.0136741175057408,1631.0,0.0146189735614308,-0.0009448560556899,0.0009448560556899,0.0135481481606283,0.014001450587699,0,0,0.0,10,10.625132539495105,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.014001450587699,0.0,0.0,0.0,0,0.0,0,0
2012-01-11,159.6699981689453,0.0064926801768765,1639.199951171875,0.0050275604977774,0.0014651196790991,0.0014651196790991,0.0135528552419854,0.0140059800830752,1,0,0.0,10,10.60941204975266,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0140059800830752,0.0,0.0,0.0,0,0.0,0,0
2012-01-12,160.3800048828125,0.0044467133588612,1647.300048828125,0.0049414945690178,-0.0004947812101565,0.0004947812101565,0.0135564502493025,0.0140102932003327,0,0,0.0,10,10.615091166899253,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0140102932003327,0.0,0.0,0.0,0,0.0,0,0
2012-01-13,159.25999450683594,-0.0069834788744079,1630.4000244140625,-0.0102592265605072,0.0032757476860992,0.0032757476860992,0.0135672279094033,0.0140323541465457,1,0,0.0,10,10.588315975805923,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0140323541465457,0.0,0.0,0.0,0,0.0,0,0
2012-01-14,159.25999450683594,0.0,1630.4000244140625,0.0,0.0,0.0,0.0135519424642017,0.0140211038878496,1,0,0.0,10,10.591760080419736,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0140211038878496,0.0,0.0,0.0,0,0.0,0,0
2012-01-15,159.25999450683594,0.0,1630.4000244140625,0.0,0.0,0.0,0.0135201240431901,0.0140209330461033,1,0,0.0,10,10.616557494553726,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0140209330461033,0.0,0.0,0.0,0,0.0,0,0
2012-01-16,159.25999450683594,0.0,1630.4000244140625,0.0,0.0,0.0,0.0135049743615593,0.0140193449301841,1,0,0.0,10,10.627263132822785,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0140193449301841,0.0,0.0,0.0,0,0.0,0,0
2012-01-17,160.5,0.0077860450579811,1655.199951171875,0.0152109460172051,-0.0074249009592239,0.0074249009592239,0.013503899059216,0.014055400339879,0,0,0.0,10,10.733947461699113,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.014055400339879,0.0,0.0,0.0,0,0.0,0,0
2012-01-18,161.60000610351562,0.0068536205826519,1659.5,0.0025979029452487,0.0042557176374031,0.0042557176374031,0.0134994309517075,0.0140409595655785,1,0,0.0,10,10.681130242285985,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0140409595655785,0.0,0.0,0.0,0,0.0,0,0
2012-01-19,161.22000122070312,-0.0023515152751236,1654.0999755859375,-0.0032540068780129,0.0009024916028892,0.0009024916028892,0.0135008437652055,0.0140434389724056,1,0,0.0,10,10.672235372803133,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0140434389724056,0.0,0.0,0.0,0,0.0,0,0
