index,SPY_Close,SPY_dailyReturns,IVV_Close,IVV_dailyReturns,spread,abs_sprd,SPY_rolling avg,IVV_rolling avg,isSprdPos,signal,axe,leverage,ratio,SPY_Size,IVV_Size,SPY_Cashflow,IVV_Cashflow,SPY_MTM,IVV_MTM,Live Trades,SPY_PnL,IVV_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2024-07-25,534.9630737304688,-0.005210344372812203,537.3533935546875,-0.005273835046479491,6.3490673667288e-05,6.3490673667288e-05,0.012002965551532588,0.011987501694689495,1,0,0.0,5,1.016708147424404,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.012002965551532588,0.0,0.0,0.0,0,0.0,0.0
2024-07-26,540.9545288085938,0.011199754473415702,543.3588256835938,0.011175945292127398,2.380918128830345e-05,2.380918128830345e-05,0.01380525328933917,0.013786499951794151,1,0,0.0,5,1.0023092303676433,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.01380525328933917,0.0,0.0,0.0,0,0.0,0.0
2024-07-27,540.9545288085938,0.0,543.3588256835938,0.0,0.0,0.0,0.012268633391773386,0.012225977207393301,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.012268633391773386,0.0,0.0,0.0,0,0.0,0.0
2024-07-28,540.9545288085938,0.0,543.3588256835938,0.0,0.0,0.0,0.012354864919571834,0.012316609014679063,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.012354864919571834,0.0,0.0,0.0,0,0.0,0.0
2024-07-29,541.2724609375,0.0005877243131811039,543.736083984375,0.0006943078550469828,-0.00010658354186587893,0.00010658354186587893,0.006005744524973501,0.0060102954651964635,0,0,0.0,5,1.1867265129412363,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0060102954651964635,0.0,0.0,0.0,0,0.0,0.0
2024-07-30,538.5301513671875,-0.005066412515358221,540.8078002929688,-0.005385487146537082,0.0003190746311788617,0.0003190746311788617,0.005966864954572064,0.006041043998331668,1,0,0.0,5,1.0674741554329445,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.006041043998331668,0.0,0.0,0.0,0,0.0,0.0
2024-07-31,547.2837524414062,0.01625461648153892,549.2451782226562,0.015601435343788994,0.0006531811377499253,0.0006531811377499253,0.008100802664518257,0.007891191015369281,1,0,0.0,5,0.963255564271514,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.008100802664518257,0.0,0.0,0.0,0,0.0,0.0
2024-08-01,539.5336303710938,-0.014161067336166289,542.0286865234375,-0.013138925902947629,-0.0010221414332186596,0.0010221414332186596,0.01106373086984422,0.010541919891699454,0,0,0.0,5,0.9321109867990175,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.01106373086984422,0.0,0.0,0.0,0,0.0,0.0
2024-08-02,529.4884033203125,-0.018618352008700767,531.824462890625,-0.018825984466361412,0.00020763245766064475,0.00020763245766064475,0.013685540223513051,0.013334913679122515,1,0,0.0,5,1.0156131521574232,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.013685540223513051,0.0,0.0,0.0,0,0.0,0.0
2024-08-03,529.4884033203125,0.0,531.824462890625,0.0,0.0,0.0,0.013636566980468891,0.013274541898785618,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.013636566980468891,0.0,0.0,0.0,0,0.0,0.0
2024-08-04,529.4884033203125,0.0,531.824462890625,0.0,0.0,0.0,0.013754795478730975,0.0133875052457048,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.013754795478730975,0.0,0.0,0.0,0,0.0,0.0
2024-08-05,514.0677490234375,-0.029123686562680606,516.3492431640625,-0.029098360091316722,-2.532647136388455e-05,2.532647136388455e-05,0.012539627929292575,0.01253015388119054,0,0,0.0,5,1.0035646424768403,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.012539627929292575,0.0,0.0,0.0,0,0.0,0.0
2024-08-06,518.8072509765625,0.00921960570786351,521.2528686523438,0.009496722524919399,-0.0002771168170558891,0.0002771168170558891,0.01567671611965318,0.01577960362959423,0,0,0.0,5,1.0349129507741615,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.01577960362959423,0.0,0.0,0.0,0,0.0,0.0
2024-08-07,515.3394775390625,-0.006684126775353572,517.6495361328125,-0.00691283009884891,0.0002287033234953384,0.0002287033234953384,0.014460992723199515,0.014526580116983136,1,0,0.0,5,1.038851858381393,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.014526580116983136,0.0,0.0,0.0,0,0.0,0.0
