Date,GC=F_Close,GC=F_dailyReturns,GLD_Close,GLD_dailyReturns,spread,abs_sprd,GC=F_rolling avg,GLD_rolling avg,isSprdPos,signal,axe,leverage,ratio,GC=F_Size,GLD_Size,GC=F_Cashflow,GLD_Cashflow,GC=F_MTM,GLD_MTM,Live Trades,GC=F_PnL,GLD_PnL,Total PnL,Gross Capital
2024-03-14,2163.0,-0.005700056495539285,200.35000610351562,-0.004175139558116325,-0.0015249169374229599,0.0015249169374229599,0.008312046497275353,0.008063744497610813,0,0,0.0,5,0.06784606704238912,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-03-15,2157.300048828125,-0.0026352062745608196,199.7100067138672,-0.00319440663913817,0.0005592003645773502,0.0005592003645773502,0.006604102355830138,0.006743083493467563,1,0,0.0,5,0.11221860273335224,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-03-18,2160.699951171875,0.0015759988257531,200.02999877929688,0.0016022835845583838,-2.6284758805283914e-05,2.6284758805283914e-05,0.006574453143135243,0.006711640709190953,0,0,0.0,5,0.09412048663616229,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-03-19,2156.300048828125,-0.002036331949451742,199.8000030517578,-0.0011498061737871268,-0.000886525775664615,0.000886525775664615,0.004837006525375424,0.004489639928775817,0,0,0.0,5,0.052319352282054706,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-03-20,2157.89990234375,0.0007419438294287151,202.17999267578125,0.011911859798154678,-0.011169915968725963,0.011169915968725963,0.0029001549355249286,0.006488994672315982,0,1,1.0,5,1.5042340909367484,8.0,-5.0,-17263.19921875,1010.8999633789062,0.0,0.0,Opened,-17263.19921875,1010.8999633789062,0.0,18274.099182128906
2024-03-21,2182.39990234375,0.011353631358614003,201.97000122070312,-0.0010386361790747367,0.01239226753768874,0.01239226753768874,0.005630941951540446,0.00599669033652069,1,0,-1.0,5,0.008466057074450003,-8.0,5.0,17459.19921875,-1009.8500061035156,196.0,1.049957275390625,Closed,17459.19921875,-1009.8500061035156,197.04995727539062,0.0
2024-03-22,2158.10009765625,-0.0111344417956597,200.35000610351562,-0.00802096899240623,-0.0031134728032534698,0.0031134728032534698,0.008062435731520197,0.007228627613442262,0,0,0.0,5,0.06687690461687797,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-03-25,2174.800048828125,0.007738265333480765,200.99000549316406,0.0031944066391380588,0.004543858694342706,0.004543858694342706,0.008783213053612373,0.007315011322539245,1,0,0.0,5,0.038150629716976296,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-03-26,2175.60009765625,0.0003678723607516421,201.63999938964844,0.003233961285236564,-0.002866088924484922,0.002866088924484922,0.008616905175696564,0.0072585098492061635,0,0,0.0,5,0.814770460007278,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-03-27,2190.60009765625,0.006894649442312106,203.10000610351562,0.007240660177973313,-0.0003460107356612063,0.0003460107356612063,0.008861482273851104,0.005793428430600731,0,0,0.0,5,0.09736722884592987,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
