Date,2330.TW_Close,2330.TW_dailyReturns,2454.TW_Close,2454.TW_dailyReturns,spread,abs_sprd,2330.TW_rolling avg,2454.TW_rolling avg,,isSprdPos,signal,axe,leverage,ratio,2330.TW_Size,2454.TW_Size,2330.TW_Cashflow,2454.TW_Cashflow,,2330.TW_MTM,2454.TW_MTM,MTM,,,Live Trades,2330.TW_PnL,2454.TW_PnL,Total PnL,Gross Capital
1/7/2024,968,0.002070393,1415,0.010714286,-0.008643892,0.008643892,0.006111399,0.013211445,1.32%,0,0,0,5,7.564695248,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
2/7/2024,960,-0.008264463,1410,-0.003533569,-0.004730894,0.004730894,0.008843878,0.009136165,0.91%,0,0,0,5,0.627981449,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
3/7/2024,979,0.019791667,1405,-0.003546099,0.023337766,0.023337766,0.010302609,0.007130207,1.03%,1,1,1,5,0.257135569,-2,5,1958,-7025,8983,0,0,0,0.00%,FALSE,Opened,1958,-7025,0,8983
4/7/2024,1005,0.026557712,1375,-0.021352313,0.047910025,0.047910025,0.013946164,0.011923442,1.39%,1,1,0,5,1.099995506,2,-5,-2010,6875,8885,-52,-150,-202,-2.27%,TRUE,Live,0,0,0,0
5/7/2024,1005,0,1350,-0.018181818,0.018181818,0.018181818,0.014552665,0.012928666,1.46%,1,1,0,5,inf,2,-5,-2010,6750,8760,-52,-275,-327,-3.73%,TRUE,Live,0,0,0,0
8/7/2024,1035,0.029850746,1420,0.051851852,-0.022001106,0.022001106,0.016832555,0.029557942,2.96%,0,0,-1,5,2.383181249,2,-5,-2070,7100,9170,-112,75,-37,-0.40%,FALSE,Closed,-2070,7100,-37,0
9/7/2024,1040,0.004830918,1460,0.028169014,-0.023338096,0.023338096,0.013211936,0.031655412,3.17%,0,0,0,5,8.185807151,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
10/7/2024,1045,0.004807692,1435,-0.017123288,0.02193098,0.02193098,0.01387793,0.03336407,3.34%,1,0,0,5,4.890869765,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
11/7/2024,1080,0.033492823,1420,-0.010452962,0.043945785,0.043945785,0.015763948,0.031545086,3.15%,1,1,1,5,0.410347879,-3,5,3240,-7100,10340,0,0,0,0.00%,FALSE,Opened,3240,-7100,0,10340
12/7/2024,1040,-0.037037037,1360,-0.042253521,0.005216484,0.005216484,0.028163005,0.037580472,3.76%,1,1,0,5,1.491874323,3,-5,-3120,6800,9920,120,-300,-180,-1.81%,FALSE,Live,0,0,0,0
