index,GLD_Close,GLD_dailyReturns,COPX_Close,COPX_dailyReturns,spread,abs_sprd,GLD_rolling avg,COPX_rolling avg,isSprdPos,signal,axe,leverage,ratio,GLD_Size,COPX_Size,GLD_Cashflow,COPX_Cashflow,GLD_MTM,COPX_MTM,Live Trades,GLD_PnL,COPX_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital,optimal,predicted
2015-09-28,108.41999816894533,-0.0126582225712803,10.361736297607422,-0.0636363087938349,0.0509780862225546,0.0509780862225546,0.0066731341203309,0.0188901105134025,1,1,0.0,10,0.27053769464293415,4.0,-10.0,-433.6799926757813,103.61736297607422,3.160003662109318,-22.13186264038086,Live,0.0,0.0,0.0,0.0188901105134025,537.2973556518555,-18.97185897827154,-0.03530979406227425,1,0.0,0.0,0,1
2015-09-29,107.9800033569336,-0.0040582440457718,10.41203498840332,0.0048542724260907,-0.0089125164718625,0.0089125164718625,0.0066764550112553,0.0188789779044659,0,0,-1.0,10,0.2726621365595167,4.0,-10.0,-431.9200134277344,104.1203498840332,4.91998291015625,-21.628875732421875,Closed,-431.9200134277344,104.1203498840332,-16.708892822265625,0.0188789779044659,536.0403633117676,-16.708892822265625,-0.03117096018485371,1,0.0,0.0,0,0
2015-09-30,106.86000061035156,-0.0103723162785965,10.663534164428713,0.0241546610538194,-0.034526977332416,0.034526977332416,0.0067181250292972,0.0189832307371332,0,1,1.0,10,0.2819733323188046,3.0,-10.0,-320.5800018310547,106.63534164428712,0.0,0.0,Opened,-320.5800018310547,106.63534164428712,0.0,0.0189832307371332,427.2153434753418,0.0,0.0,0,0.0,427.2153434753418,1,1
2015-10-01,106.7300033569336,-0.0012165193025964,10.940184593200684,0.0259435966074754,-0.0271601159100719,0.0271601159100719,0.0067183334818021,0.0191003029753291,0,1,0.0,10,0.2914183035368453,-3.0,10.0,320.1900100708008,-109.40184593200684,-0.38999176025390625,-2.7665042877197124,Live,0.0,0.0,0.0,0.0191003029753291,429.5918560028076,-3.1564960479736186,-0.007347662679976385,0,0.0,0.0,0,0
2015-10-02,108.98999786376952,0.0211748752530056,11.241983413696287,0.0275862640090345,-0.0064113887560288,0.0064113887560288,0.0069081788384255,0.01922939737522,0,1,0.0,10,0.2871166633562231,-3.0,10.0,326.96999359130854,-112.41983413696288,6.389991760253849,-5.784492492675753,Live,0.0,0.0,0.0,0.01922939737522,439.3898277282714,0.6054992675780966,0.0013780457110457982,0,0.0,0.0,0,0
2015-10-03,108.98999786376952,0.0,11.241983413696287,0.0,0.0,0.0,0.0068442081896787,0.0191646380350918,1,0,-1.0,10,0.288824284155066,-3.0,10.0,326.96999359130854,-112.41983413696288,6.389991760253849,-5.784492492675753,Closed,326.96999359130854,-112.41983413696288,0.6054992675780966,0.0191646380350918,439.3898277282714,0.6054992675780966,0.0013780457110457982,0,0.6054992675780966,0.0,0,0
2015-10-04,108.98999786376952,0.0,11.241983413696287,0.0,0.0,0.0,0.0068355076445433,0.0191480646273301,1,0,0.0,10,0.28894182226233794,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0191480646273301,0.0,0.0,0.0,0,0.0,0.0,0,0
2015-10-05,108.7699966430664,-0.002018545050144,12.02162742614746,0.0693511085865257,-0.0713696536366698,0.0713696536366698,0.0068256596114602,0.019854619605772,0,1,1.0,10,0.32149268313337437,4.0,-10.0,-435.0799865722656,120.2162742614746,0.0,0.0,Opened,-435.0799865722656,120.2162742614746,0.0,0.019854619605772,555.2962608337402,0.0,0.0,0,0.0,4253.476146697998,1,1
2015-10-06,109.86000061035156,0.0100211823198088,12.449175834655762,0.0355649358736878,-0.0255437535538789,0.0255437535538789,0.0068506989272052,0.0200387760013584,0,1,0.0,10,0.3314647219642432,-4.0,10.0,439.44000244140625,-124.49175834655762,4.360015869140625,-4.275484085083022,Live,0.0,0.0,0.0,0.0200387760013584,563.9317607879639,0.08453178405760298,0.00014989718603451135,0,0.0,0.0,0,0
2015-10-07,109.6999969482422,-0.001456432379578,13.228819847106934,0.062626154759644,-0.0640825871392221,0.0640825871392221,0.0067963325825424,0.020604236557443,0,1,0.0,10,0.36559175343000017,-4.0,10.0,438.7999877929688,-132.28819847106934,3.720001220703182,-12.07192420959474,Live,0.0,0.0,0.0,0.020604236557443,571.0881862640381,-8.351922988891559,-0.014624576711222869,0,0.0,0.0,0,1
