index,NVDA_Close,NVDA_dailyReturns,COPX_Close,COPX_dailyReturns,spread,abs_sprd,NVDA_rolling avg,COPX_rolling avg,isSprdPos,signal,axe,leverage,ratio,NVDA_Size,COPX_Size,NVDA_Cashflow,COPX_Cashflow,NVDA_MTM,COPX_MTM,Live Trades,NVDA_PnL,COPX_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2022-06-23,16.204246520996094,-0.008251562095438647,28.713359832763672,-0.06046785537463373,0.05221629327919508,0.05221629327919508,0.034942145854672056,0.019617698020303824,1,1,0.0,10,12.985048178558191,4.0,-10.0,-64.81698608398438,287.1335983276367,1.3622589111328125,-35.845298767089844,Live,0.0,0.0,0.0,0.034942145854672056,351.9505844116211,-34.48303985595703,-0.09797693592015082,1,0.0,0.0
2022-06-24,17.104095458984375,0.05553167417086202,29.864864349365234,0.04010344046493741,0.01542823370592461,0.01542823370592461,0.035210537937404696,0.019852167941977538,1,1,0.0,10,1.2609599711047257,4.0,-10.0,-68.4163818359375,298.64864349365234,-2.2371368408203125,-24.33025360107422,Live,0.0,0.0,0.0,0.035210537937404696,367.06502532958984,-26.56739044189453,-0.07237788568398615,1,0.0,0.0
2022-06-25,17.104095458984375,0.0,29.864864349365234,0.0,0.0,0.0,0.035038536666279096,0.019842281130987984,1,1,0.0,10,,4.0,-10.0,-68.4163818359375,298.64864349365234,-2.2371368408203125,-24.33025360107422,Live,0.0,0.0,0.0,0.035038536666279096,367.06502532958984,-26.56739044189453,-0.07237788568398615,1,0.0,0.0
2022-06-26,17.104095458984375,0.0,29.864864349365234,0.0,0.0,0.0,0.03501460769960034,0.01984057181684391,1,1,0.0,10,,4.0,-10.0,-68.4163818359375,298.64864349365234,-2.2371368408203125,-24.33025360107422,Live,0.0,0.0,0.0,0.03501460769960034,367.06502532958984,-26.56739044189453,-0.07237788568398615,1,0.0,0.0
2022-06-27,16.847421646118164,-0.015006570413601539,30.449905395507812,0.019589610027979765,-0.0345961804415813,0.0345961804415813,0.03502181878766056,0.019893899560308778,0,0,-1.0,10,2.359374289972584,4.0,-10.0,-67.38968658447266,304.4990539550781,-1.2104415893554688,-18.479843139648438,Closed,-67.38968658447266,304.4990539550781,-19.690284729003906,0.03502181878766056,371.8887405395508,-19.690284729003906,-0.05294670847102407,1,0.0,0.0
2022-06-28,15.961556434631348,-0.05258164899617912,30.28274917602539,-0.005489548072851513,-0.04709210092332761,0.04709210092332761,0.03520994086519259,0.019897394023746566,0,1,1.0,10,0.19807171070968208,2.0,-10.0,-31.923112869262695,302.8274917602539,0.0,0.0,Opened,-31.923112869262695,302.8274917602539,0.0,0.03520994086519259,334.7506046295166,0.0,0.0,0,0.0,334.7506046295166
2022-06-29,15.52211856842041,-0.02753101603910635,29.502227783203125,-0.025774456218796593,-0.0017565598203097554,0.0017565598203097554,0.0352574611481004,0.019978423177966182,0,1,0.0,10,1.7793897612953833,-2.0,10.0,31.04423713684082,-295.02227783203125,-0.878875732421875,7.805213928222656,Live,0.0,0.0,0.0,0.0352574611481004,326.06651496887207,6.926338195800781,0.021242102079883928,0,0.0,0.0
2022-06-30,15.139609336853027,-0.024642849484837304,28.847043991088867,-0.022207942970573935,-0.0024349065142633686,0.0024349065142633686,0.03529389168164101,0.020042959316416472,0,1,0.0,10,1.7171334845532404,-2.0,10.0,30.279218673706055,-288.4704399108887,-1.6438941955566406,14.357051849365234,Live,0.0,0.0,0.0,0.03529389168164101,318.7496585845947,12.713157653808594,0.039884458889340516,0,0.0,0.0
2022-07-01,14.50442123413086,-0.04195538263830789,28.28681755065918,-0.019420583980901074,-0.022534798657406818,0.022534798657406818,0.03541194452099744,0.020091076695918923,0,1,0.0,10,0.9027308496264601,-2.0,10.0,29.00884246826172,-282.8681755065918,-2.9142704010009766,19.95931625366211,Live,0.0,0.0,0.0,0.03541194452099744,311.8770179748535,17.045045852661133,0.05465310000506503,0,0.0,0.0
2022-07-02,14.50442123413086,0.0,28.28681755065918,0.0,0.0,0.0,0.03535314804949744,0.02008997704684636,1,0,-1.0,10,,-2.0,10.0,29.00884246826172,-282.8681755065918,-2.9142704010009766,19.95931625366211,Closed,29.00884246826172,-282.8681755065918,17.045045852661133,0.03535314804949744,311.8770179748535,17.045045852661133,0.05465310000506503,0,17.045045852661133,0.0
2022-07-03,14.50442123413086,0.0,28.28681755065918,0.0,0.0,0.0,0.03530756643399751,0.020043485203006927,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.03530756643399751,0.0,0.0,0.0,0,0.0,0.0
2022-07-04,14.50442123413086,0.0,28.28681755065918,0.0,0.0,0.0,0.035072968926755654,0.020021943589567815,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.035072968926755654,0.0,0.0,0.0,0,0.0,0.0
2022-07-05,14.944855690002441,0.030365531224036735,26.815025329589844,-0.052031028885928476,0.08239656010996521,0.08239656010996521,0.0351163961635064,0.020379400364634252,1,1,1.0,10,3.0744541200826556,-31.0,10.0,463.2905263900757,-268.15025329589844,0.0,0.0,Opened,463.2905263900757,-268.15025329589844,0.0,0.0351163961635064,731.4407796859741,0.0,0.0,0,0.0,731.4407796859741
2022-07-06,15.110647201538086,0.011093550514947648,26.79603385925293,-0.0007082398805701162,0.011801790395517764,0.011801790395517764,0.03505877709910373,0.020298029295043724,1,1,0.0,10,0.11321325178084078,31.0,-10.0,-468.43006324768066,267.9603385925293,-5.1395368576049805,-0.18991470336914062,Live,0.0,0.0,0.0,0.03505877709910373,736.39040184021,-5.329451560974121,-0.007237263749847956,0,0.0,0.0
2022-07-07,15.837712287902832,0.048116078462260736,28.419748306274414,0.060595327485780226,-0.01247924902351949,0.01247924902351949,0.03526194810663299,0.020814902946107175,0,0,-1.0,10,2.259834792191072,31.0,-10.0,-490.9690809249878,284.19748306274414,-27.67855453491211,16.047229766845703,Closed,-490.9690809249878,284.19748306274414,-11.631324768066406,0.03526194810663299,775.1665639877319,-11.631324768066406,-0.015004936111060754,0,-11.631324768066406,0.0
2022-07-08,15.817739486694336,-0.0012610913019143188,27.963972091674805,-0.01603730651263313,0.014776215210718813,0.014776215210718813,0.035261597153962834,0.020845240505906606,1,0,0.0,10,22.48222764288435,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.035261597153962834,0.0,0.0,0.0,0,0.0,0.0
2022-07-09,15.817739486694336,0.0,27.963972091674805,0.0,0.0,0.0,0.035256958449230026,0.020845205720682387,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.035256958449230026,0.0,0.0,0.0,0,0.0,0.0
2022-07-10,15.817739486694336,0.0,27.963972091674805,0.0,0.0,0.0,0.03523265749740933,0.020731650408384393,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.03523265749740933,0.0,0.0,0.0,0,0.0,0.0
2022-07-11,15.13261890411377,-0.043313431932349156,26.701080322265625,-0.04516138713302309,0.0018479552006739342,0.0018479552006739342,0.03535687262296206,0.02057502506391756,1,0,0.0,10,1.8397525546180584,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.03535687262296206,0.0,0.0,0.0,0,0.0,0.0
2022-07-12,15.062707901000977,-0.004619887909407927,26.11236572265625,-0.022048343831184036,0.01742845592177611,0.01742845592177611,0.03517312766244705,0.020617200240411974,1,0,0.0,10,8.273470062838397,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.03517312766244705,0.0,0.0,0.0,0,0.0,0.0
2022-07-13,15.14460277557373,0.005436929077494268,26.15035057067871,0.0014546689651142586,0.003982260112380009,0.003982260112380009,0.035156935090528425,0.02060881101666156,1,0,0.0,10,0.4619874033322536,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.035156935090528425,0.0,0.0,0.0,0,0.0,0.0
2022-07-14,15.352335929870605,0.013716645948081307,25.181819915771484,-0.03703700462024395,0.05075365056832526,0.05075365056832526,0.03517740282667717,0.020775991556323457,1,1,1.0,10,4.428947945145365,-45.0,10.0,690.8551168441772,-251.81819915771484,0.0,0.0,Opened,690.8551168441772,-251.81819915771484,0.0,0.03517740282667717,942.6733160018921,0.0,0.0,0,0.0,942.6733160018921
2022-07-15,15.741836547851562,0.02537077222386186,25.55213737487793,0.01470574646094236,0.0106650257629195,0.0106650257629195,0.03523823785130979,0.02081239588302101,1,1,0.0,10,0.9408604714859168,45.0,-10.0,-708.3826446533203,255.5213737487793,-17.527527809143066,3.703174591064453,Live,0.0,0.0,0.0,0.03523823785130979,963.9040184020996,-13.824353218078613,-0.014342043350950824,0,0.0,0.0
2022-07-16,15.741836547851562,0.0,25.55213737487793,0.0,0.0,0.0,0.03523823785130979,0.02081239588302101,1,1,0.0,10,,45.0,-10.0,-708.3826446533203,255.5213737487793,-17.527527809143066,3.703174591064453,Live,0.0,0.0,0.0,0.03523823785130979,963.9040184020996,-13.824353218078613,-0.014342043350950824,0,0.0,0.0
2022-07-17,15.741836547851562,0.0,25.55213737487793,0.0,0.0,0.0,0.035133942347750684,0.02079901616498417,1,1,0.0,10,,45.0,-10.0,-708.3826446533203,255.5213737487793,-17.527527809143066,3.703174591064453,Live,0.0,0.0,0.0,0.035133942347750684,963.9040184020996,-13.824353218078613,-0.014342043350950824,0,0.0,0.0
2022-07-18,16.080402374267578,0.02150739053774653,26.425716400146484,0.034188099901475644,-0.012680709363729115,0.012680709363729115,0.03510492947565233,0.020917495175385634,0,0,-1.0,10,2.612264215517058,45.0,-10.0,-723.618106842041,264.25716400146484,-32.76298999786377,12.43896484375,Closed,-723.618106842041,264.25716400146484,-20.32402515411377,0.03510492947565233,987.8752708435059,-20.32402515411377,-0.020573472941335928,0,-20.32402515411377,0.0
2022-07-19,16.970266342163086,0.05533841425009989,26.9764461517334,0.020840674411531257,0.03449773983856863,0.03449773983856863,0.03526497279526174,0.020979360055186063,1,0,0.0,10,0.5986612330692649,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.03526497279526174,0.0,0.0,0.0,0,0.0,0.0
2022-07-20,17.784217834472656,0.04796338937163802,26.815025329589844,-0.005983768997429029,0.05394715836906705,0.05394715836906705,0.03537930234677253,0.020861034836621863,1,1,1.0,10,0.18810848958068882,-2.0,10.0,35.56843566894531,-268.15025329589844,0.0,0.0,Opened,35.56843566894531,-268.15025329589844,0.0,0.03537930234677253,303.71868896484375,0.0,0.0,0,0.0,303.71868896484375
2022-07-21,18.026912689208984,0.013646642039319312,26.83401870727539,0.0007083110104164625,0.01293833102890285,0.01293833102890285,0.03539583189190553,0.02086138138302838,1,1,0.0,10,0.07726139687116004,2.0,-10.0,-36.05382537841797,268.3401870727539,-0.48538970947265625,0.18993377685546875,Live,0.0,0.0,0.0,0.03539583189190553,304.3940124511719,-0.2954559326171875,-0.000970636479469457,0,0.0,0.0
2022-07-22,17.296844482421875,-0.04049879307531856,26.53016471862793,-0.011323461907145393,-0.02917533116817317,0.02917533116817317,0.035519146328046966,0.020873990549574013,0,0,-1.0,10,0.4288547339235807,2.0,-10.0,-34.59368896484375,265.3016471862793,0.9747467041015625,-2.8486061096191406,Closed,-34.59368896484375,265.3016471862793,-1.8738594055175781,0.035519146328046966,299.89533615112305,-1.8738594055175781,-0.006248377949343314,0,-1.8738594055175781,0.0
