index,NVDA_Close,NVDA_dailyReturns,AMD_Close,AMD_dailyReturns,spread,abs_sprd,NVDA_rolling avg,AMD_rolling avg,isSprdPos,signal,axe,leverage,ratio,NVDA_Size,AMD_Size,NVDA_Cashflow,AMD_Cashflow,NVDA_MTM,AMD_MTM,Live Trades,NVDA_PnL,AMD_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2017-02-12,2.7988932132720947,0.0,13.579999923706055,0.0,0.0,0.0,0.023768643005536834,0.04329695823922463,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.04329695823922463,0.0,0.0,0.0,0,0.0,0.0
2017-02-13,2.6698122024536133,-0.04611859080810632,13.489999771118164,-0.0066274044987865155,-0.0394911863093198,0.0394911863093198,0.023909666078686328,0.04330105099056817,0,0,0.0,10,0.7261037476088051,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.04330105099056817,0.0,0.0,0.0,0,0.0,0.0
2017-02-14,2.6796648502349854,0.003690389823043372,13.260000228881836,-0.017049632775291257,0.02074002259833463,0.02074002259833463,0.023908813680573154,0.04331725586820568,1,0,0.0,10,22.861558708509488,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.04331725586820568,0.0,0.0,0.0,0,0.0,0.0
2017-02-15,2.685084581375122,0.002022540669465167,13.300000190734863,0.0030165883229702484,-0.0009940476535050813,0.0009940476535050813,0.02390814812722114,0.04331633928900427,0,0,0.0,10,7.387754563516621,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.04331633928900427,0.0,0.0,0.0,0,0.0,0.0
2017-02-16,2.6419754028320312,-0.01605505422142539,12.970000267028809,-0.024812023982972664,0.008756969761547273,0.008756969761547273,0.023872423032101596,0.043278401699981664,1,0,0.0,10,7.586852324216778,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.043278401699981664,0.0,0.0,0.0,0,0.0,0.0
2017-02-17,2.6414825916290283,-0.00018653133654256138,13.130000114440918,0.012336148351426601,-0.012522679687969163,0.012522679687969163,0.02387322280229558,0.043257959526281926,0,0,0.0,10,328.7341015649852,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.043257959526281926,0.0,0.0,0.0,0,0.0,0.0
2017-02-18,2.6414825916290283,0.0,13.130000114440918,0.0,0.0,0.0,0.02387338296267729,0.04324715045713375,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.04324715045713375,0.0,0.0,0.0,0,0.0,0.0
2017-02-19,2.6414825916290283,0.0,13.130000114440918,0.0,0.0,0.0,0.023874041458688395,0.0432482856005953,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0432482856005953,0.0,0.0,0.0,0,0.0,0.0
2017-02-20,2.6414825916290283,0.0,13.130000114440918,0.0,0.0,0.0,0.023868690277347535,0.043243397816706296,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.043243397816706296,0.0,0.0,0.0,0,0.0,0.0
2017-02-21,2.736077070236206,0.03581113080470488,14.0,0.06626046290755316,-0.03044933210284828,0.03044933210284828,0.023927858140227506,0.04335875936158261,0,0,0.0,10,9.467518008847703,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.04335875936158261,0.0,0.0,0.0,0,0.0,0.0
2017-02-22,2.7318832874298096,-0.0015327721766384972,14.279999732971191,0.019999980926513672,-0.02153275310315217,0.02153275310315217,0.023928669000183686,0.04336366013062281,0,0,0.0,10,68.2052854947747,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.04336366013062281,0.0,0.0,0.0,0,0.0,0.0
2017-02-23,2.478574752807617,-0.09272304413140153,14.319999694824219,0.0028011178292022265,-0.09552416196060376,0.09552416196060376,0.02445748679670555,0.043339469611245705,0,1,1.0,10,0.17453586541156105,2.0,-10.0,-4.957149505615234,143.1999969482422,0.0,0.0,Opened,-4.957149505615234,143.1999969482422,0.0,0.043339469611245705,148.15714645385742,0.0,0.0,0,0.0,148.15714645385742
2017-02-24,2.502500057220459,0.009652847623716099,14.119999885559082,-0.01396646742509522,0.023619315048811318,0.023619315048811318,0.024364511426500552,0.04334727564308137,1,0,-1.0,10,8.163788018215724,-2.0,10.0,5.005000114440918,-141.19999885559082,0.047850608825683594,1.9999980926513672,Closed,5.005000114440918,-141.19999885559082,2.047848701477051,0.04334727564308137,146.20499897003174,2.047848701477051,0.01400669413428748,0,2.047848701477051,0.0
2017-02-25,2.502500057220459,0.0,14.119999885559082,0.0,0.0,0.0,0.024364863798528258,0.043239171865218605,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.043239171865218605,0.0,0.0,0.0,0,0.0,0.0
2017-02-26,2.502500057220459,0.0,14.119999885559082,0.0,0.0,0.0,0.02435697370436988,0.04314422008980135,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.04314422008980135,0.0,0.0,0.0,0,0.0,0.0
2017-02-27,2.5752618312835693,0.029075633326429262,15.199999809265137,0.07648724734131207,-0.04741161401488281,0.04741161401488281,0.024391914519228862,0.04324705668945647,0,1,1.0,10,15.52680288825696,156.0,-10.0,-401.7408456802368,151.99999809265137,0.0,0.0,Opened,-401.7408456802368,151.99999809265137,0.0,0.04324705668945647,553.7408437728882,0.0,0.0,0,0.0,553.7408437728882
2017-02-28,2.50299334526062,-0.02806257800471068,14.460000038146973,-0.04868419607920638,0.020621618074495696,0.020621618074495696,0.024448028187360086,0.0433418991550694,1,0,-1.0,10,10.02233780229805,-156.0,10.0,390.46696186065674,-144.60000038146973,-11.273883819580078,7.399997711181641,Closed,390.46696186065674,-144.60000038146973,-3.8738861083984375,0.0433418991550694,535.0669622421265,-3.8738861083984375,-0.007240002432901924,0,-3.8738861083984375,0.0
2017-03-01,2.535304069519043,0.012908833465179903,14.960000038146973,0.03457814652012092,-0.02166931305494102,0.02166931305494102,0.024452406026274263,0.04336716302496423,0,0,0.0,10,15.805791666011386,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.04336716302496423,0.0,0.0,0.0,0,0.0,0.0
2017-03-02,2.4418249130249023,-0.03687098428074309,13.899999618530273,-0.07085564284182966,0.03398465856108657,0.03398465856108657,0.024539279889177673,0.043513153208222195,1,0,0.0,10,10.939311247758237,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.043513153208222195,0.0,0.0,0.0,0,0.0,0.0
2017-03-03,2.4277656078338623,-0.005757704049969559,13.029999732971191,-0.06258992154210374,0.056832217492134185,0.056832217492134185,0.024517402385338057,0.043484653675607825,1,1,1.0,10,58.343532559419614,-584.0,10.0,1417.8151149749756,-130.2999973297119,0.0,0.0,Opened,1417.8151149749756,-130.2999973297119,0.0,0.043484653675607825,1548.1151123046875,0.0,0.0,0,0.0,1548.1151123046875
2017-03-04,2.4277656078338623,0.0,13.029999732971191,0.0,0.0,0.0,0.024517133136631127,0.04346862139584614,1,1,0.0,10,,584.0,-10.0,-1417.8151149749756,130.2999973297119,0.0,0.0,Live,0.0,0.0,0.0,0.04346862139584614,1548.1151123046875,0.0,0.0,0,0.0,0.0
2017-03-05,2.4277656078338623,0.0,13.029999732971191,0.0,0.0,0.0,0.024516374418652224,0.04346862139584614,1,1,0.0,10,,584.0,-10.0,-1417.8151149749756,130.2999973297119,0.0,0.0,Live,0.0,0.0,0.0,0.04346862139584614,1548.1151123046875,0.0,0.0,0,0.0,0.0
2017-03-06,2.409020185470581,-0.007721265307818026,13.039999961853027,0.0007674772898522697,-0.008488742597670296,0.008488742597670296,0.0245128717100172,0.04308357563949751,0,0,-1.0,10,0.5380395602148366,584.0,-10.0,-1406.8677883148193,130.39999961853027,10.94732666015625,0.10000228881835938,Closed,-1406.8677883148193,130.39999961853027,11.04732894897461,0.04308357563949751,1537.2677879333496,11.04732894897461,0.00718633996997118,0,11.04732894897461,0.0
2017-03-07,2.4354121685028076,0.01095548438796956,13.050000190734863,0.000766888720175718,0.010188595667793843,0.010188595667793843,0.024515460351929204,0.04308332687757643,1,0,0.0,10,0.3750928727205824,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.04308332687757643,0.0,0.0,0.0,0,0.0,0.0
2017-03-08,2.430971622467041,-0.0018233242377598824,13.220000267028809,0.01302682557925472,-0.014850149817014602,0.014850149817014602,0.02451635585823797,0.04308424799616726,0,0,0.0,10,38.853152955708744,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.04308424799616726,0.0,0.0,0.0,0,0.0,0.0
2017-03-09,2.430478096008301,-0.0002030161332114977,13.329999923706055,0.008320700034446293,-0.008523716167657791,0.008523716167657791,0.024517046975791715,0.04290702754053246,0,0,0.0,10,224.78521860867934,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.04290702754053246,0.0,0.0,0.0,0,0.0,0.0
